tag,mode,slo_type,slo_name,metric,p50,p90,p95,p99,mean,count
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU-only,0,Interactive request,ttft,0.2728,22.369140000000243,66.7126700000004,106.59621,9.542393848354791,699
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU-only,0,Interactive request,tbt_p99,0.1334,1.8415,2.0742599999999993,7.054116,0.7798832137733143,697
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU-only,0,Interactive request,ttlt,2.8936,27.264620000000047,85.73237999999904,113.48547599999999,12.581326068965517,725
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU+storage,0,Interactive request,ttft,1.4962,34.4692,53.7844,88.08660000000009,12.241696622613803,681
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU+storage,0,Interactive request,tbt_p99,0.2345,2.39152,6.684819999999999,50.572552,1.995351846381093,677
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU+storage,0,Interactive request,ttlt,7.1872,50.6299,65.93725,92.69280999999998,17.004395921237695,711
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU-only,1,batch request,ttft,8.14735,56.52875,96.45897500000001,107.3047,17.090356818181817,176
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU-only,1,batch request,tbt_p99,0.6727000000000001,0.9888,1.360925,3.850525,0.7870420454545456,176
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU-only,1,batch request,ttlt,130.2592,178.02234000000004,216.59557999999998,226.64213199999998,119.539403626943,193
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU+storage,1,batch request,ttft,14.584299999999999,65.66918000000001,67.341315,72.647137,23.99253186813187,182
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU+storage,1,batch request,tbt_p99,0.6152500000000001,0.94653,1.0875,3.9908499999999894,0.780620879120879,182
sleep_0.001_pushint_0.001_mb100_chunked_1,CPU+storage,1,batch request,ttlt,137.7703,189.14022,190.71242,197.46153600000005,137.88175191256826,183
