mode,ts,retrieved_tokens,hit,t
native_dram,1772710606.025424,0,0,0.2548239231109619
native_dram,1772710606.03549,0,0,0.2648899555206299
native_dram,1772710606.509579,0,0,0.7389788627624512
native_dram,1772710606.519654,0,0,0.749053955078125
native_dram,1772710606.529748,0,0,0.7591478824615479
native_dram,1772710606.53999,0,0,0.7693898677825928
native_dram,1772710606.563905,0,0,0.7933049201965332
native_dram,1772710606.923012,0,0,1.152411937713623
native_dram,1772710606.933121,0,0,1.1625208854675293
native_dram,1772710606.943655,0,0,1.1730549335479736
native_dram,1772710607.047727,0,0,1.2771270275115967
native_dram,1772710607.370191,0,0,1.5995910167694092
native_dram,1772710607.380121,0,0,1.6095209121704102
native_dram,1772710607.39061,0,0,1.6200098991394043
native_dram,1772710607.520568,0,0,1.7499678134918213
native_dram,1772710607.843136,0,0,2.072535991668701
native_dram,1772710607.853127,0,0,2.082526922225952
native_dram,1772710607.863489,0,0,2.092888832092285
native_dram,1772710607.992774,0,0,2.2221739292144775
native_dram,1772710608.528667,0,0,2.7580668926239014
native_dram,1772710608.538762,0,0,2.7681620121002197
native_dram,1772710608.54905,0,0,2.7784500122070312
native_dram,1772710608.55947,0,0,2.788869857788086
native_dram,1772710608.958099,0,0,3.1874988079071045
native_dram,1772710608.968034,0,0,3.1974339485168457
native_dram,1772710608.985548,0,0,3.2149479389190674
native_dram,1772710609.217705,0,0,3.4471049308776855
native_dram,1772710609.228055,0,0,3.4574549198150635
native_dram,1772710609.318007,0,0,3.5474069118499756
native_dram,1772710609.514062,0,0,3.743461847305298
native_dram,1772710609.756998,0,0,3.9863979816436768
native_dram,1772710609.767344,0,0,3.99674391746521
native_dram,1772710610.005008,0,0,4.234407901763916
native_dram,1772710610.015223,0,0,4.2446229457855225
native_dram,1772710610.201371,0,0,4.4307708740234375
native_dram,1772710610.369636,0,0,4.599035978317261
native_dram,1772710612.162789,0,0,6.392189025878906
native_dram,1772710612.29755,0,0,6.526949882507324
native_dram,1772710612.437757,0,0,6.667156934738159
native_dram,1772710612.577993,0,0,6.807392835617065
native_dram,1772710612.719289,0,0,6.948688983917236
native_dram,1772710612.83886,0,0,7.068259954452515
native_dram,1772710612.980146,0,0,7.209545850753784
native_dram,1772710613.121839,0,0,7.351238965988159
native_dram,1772710613.263903,0,0,7.493302822113037
native_dram,1772710613.280009,0,0,7.509408950805664
native_dram,1772710613.409029,0,0,7.6384289264678955
native_dram,1772710613.559875,0,0,7.7892749309539795
native_dram,1772710613.710099,0,0,7.9394989013671875
native_dram,1772710613.836944,0,0,8.066344022750854
native_dram,1772710613.846989,0,0,8.076388835906982
native_dram,1772710613.951889,0,0,8.181288957595825
native_dram,1772710614.172163,0,0,8.401562929153442
native_dram,1772710614.182299,0,0,8.411698818206787
native_dram,1772710614.310507,0,0,8.539906978607178
native_dram,1772710614.489732,0,0,8.71913194656372
native_dram,1772710614.592751,0,0,8.822150945663452
native_dram,1772710614.718701,0,0,8.948100805282593
native_dram,1772710614.728913,0,0,8.95831298828125
native_dram,1772710614.829607,0,0,9.059006929397583
native_dram,1772710615.108343,0,0,9.337742805480957
native_dram,1772710615.118683,0,0,9.348083019256592
native_dram,1772710615.388518,0,0,9.617918014526367
native_dram,1772710615.398585,0,0,9.627985000610352
native_dram,1772710615.566,0,0,9.795399904251099
native_dram,1772710615.576065,0,0,9.80546498298645
native_dram,1772710615.769515,0,0,9.998914957046509
native_dram,1772710615.779923,0,0,10.009322881698608
native_dram,1772710615.993994,0,0,10.22339391708374
native_dram,1772710616.004387,0,0,10.233786821365356
native_dram,1772710616.231238,0,0,10.46063780784607
native_dram,1772710616.241236,0,0,10.470635890960693
native_dram,1772710616.438674,0,0,10.668073892593384
native_dram,1772710616.448809,0,0,10.678208827972412
native_dram,1772710616.635626,0,0,10.865025997161865
native_dram,1772710616.652137,0,0,10.881536960601807
native_dram,1772710616.863336,0,0,11.092736005783081
native_dram,1772710616.878972,0,0,11.10837197303772
native_dram,1772710617.008781,512,1,11.238180875778198
native_dram,1772710617.109107,768,1,11.338506937026978
native_dram,1772710617.210301,0,0,11.439700841903687
native_dram,1772710617.362723,0,0,11.592123031616211
native_dram,1772710617.484197,0,0,11.713596820831299
native_dram,1772710617.630187,0,0,11.859586954116821
native_dram,1772710617.749717,0,0,11.979116916656494
native_dram,1772710617.880685,0,0,12.110085010528564
native_dram,1772710617.986542,0,0,12.215941905975342
native_dram,1772710618.128613,0,0,12.358012914657593
native_dram,1772710618.292858,0,0,12.522257804870605
native_dram,1772710618.308882,0,0,12.538281917572021
native_dram,1772710618.50641,0,0,12.735809803009033
native_dram,1772710618.622549,0,0,12.851948976516724
native_dram,1772710618.638603,0,0,12.868002891540527
native_dram,1772710618.823467,0,0,13.05286693572998
native_dram,1772710618.941414,0,0,13.170814037322998
native_dram,1772710619.060979,0,0,13.29037880897522
native_dram,1772710619.180498,0,0,13.409897804260254
native_dram,1772710619.196235,0,0,13.425634860992432
native_dram,1772710619.325717,0,0,13.555116891860962
native_dram,1772710619.452441,0,0,13.681840896606445
native_dram,1772710619.602619,0,0,13.832018852233887
native_dram,1772710619.707395,0,0,13.936794996261597
native_dram,1772710619.812219,0,0,14.041618824005127
native_dram,1772710619.912243,0,0,14.141642808914185
native_dram,1772710620.015656,0,0,14.245055913925171
native_dram,1772710620.119517,0,0,14.348917007446289
native_dram,1772710620.220858,0,0,14.450258016586304
native_dram,1772710620.428475,0,0,14.657874822616577
native_dram,1772710620.444267,0,0,14.673666954040527
native_dram,1772710620.573545,768,1,14.802944898605347
native_dram,1772710620.676946,0,0,14.906345844268799
native_dram,1772710620.827533,0,0,15.056932926177979
native_dram,1772710620.943599,0,0,15.172998905181885
native_dram,1772710621.087196,0,0,15.316596031188965
native_dram,1772710621.203318,0,0,15.43271803855896
native_dram,1772710621.323817,0,0,15.553216934204102
native_dram,1772710621.465624,0,0,15.695024013519287
native_dram,1772710621.609375,0,0,15.838774919509888
native_dram,1772710621.752947,0,0,15.982347011566162
native_dram,1772710621.763498,0,0,15.992897987365723
native_dram,1772710622.006062,0,0,16.235461950302124
native_dram,1772710622.016244,0,0,16.245643854141235
native_dram,1772710622.272711,0,0,16.502110958099365
native_dram,1772710622.283155,0,0,16.51255488395691
native_dram,1772710622.479757,0,0,16.70915699005127
native_dram,1772710622.49,0,0,16.71939992904663
native_dram,1772710622.75793,0,0,16.987329959869385
native_dram,1772710622.768057,0,0,16.997457027435303
native_dram,1772710622.778256,0,0,17.00765585899353
native_dram,1772710623.107198,0,0,17.33659791946411
native_dram,1772710623.117311,512,1,17.346710920333862
native_dram,1772710623.127459,0,0,17.35685896873474
native_dram,1772710623.368783,0,0,17.598182916641235
native_dram,1772710623.378912,0,0,17.608311891555786
native_dram,1772710623.594804,0,0,17.824203968048096
native_dram,1772710623.604989,0,0,17.834388971328735
native_dram,1772710623.83302,0,0,18.062419891357422
native_dram,1772710623.843272,0,0,18.07267189025879
native_dram,1772710623.952444,0,0,18.181843996047974
native_dram,1772710624.177932,0,0,18.407331943511963
native_dram,1772710624.188079,0,0,18.417479038238525
native_dram,1772710624.439001,0,0,18.66840100288391
native_dram,1772710624.44903,0,0,18.67842984199524
native_dram,1772710624.65908,0,0,18.888479948043823
native_dram,1772710624.669265,768,1,18.898664951324463
native_dram,1772710624.819457,0,0,19.04885697364807
native_dram,1772710624.96569,768,1,19.19508981704712
native_dram,1772710625.071096,0,0,19.300495862960815
native_dram,1772710625.220154,0,0,19.449553966522217
native_dram,1772710625.340827,768,1,19.570226907730103
native_dram,1772710625.410671,0,0,19.640070915222168
native_dram,1772710625.557448,0,0,19.786847829818726
native_dram,1772710625.677157,0,0,19.906556844711304
native_dram,1772710625.819975,0,0,20.04937481880188
native_dram,1772710625.92499,0,0,20.15438985824585
