mode,ts,vram_gb,t
native_dram,1772710605.770617,7.0397,1.6927719116210938e-05
native_dram,1772710605.885302,7.0397,0.11470198631286621
native_dram,1772710605.997688,7.0397,0.22708797454833984
native_dram,1772710606.105994,7.0397,0.33539390563964844
native_dram,1772710606.216318,7.0397,0.44571781158447266
native_dram,1772710606.326367,7.0397,0.5557668209075928
native_dram,1772710606.434962,7.0768,0.6643619537353516
native_dram,1772710606.554091,7.0807,0.7834908962249756
native_dram,1772710606.657738,7.2136,0.8871378898620605
native_dram,1772710606.768102,7.2136,0.9975018501281738
native_dram,1772710606.878054,7.2136,1.1074538230895996
native_dram,1772710606.979668,7.2136,1.2090678215026855
native_dram,1772710607.086748,7.2136,1.316147804260254
native_dram,1772710607.195622,7.2136,1.4250218868255615
native_dram,1772710607.306366,7.2136,1.5357658863067627
native_dram,1772710607.420032,7.2136,1.6494319438934326
native_dram,1772710607.533446,7.2136,1.7628459930419922
native_dram,1772710607.645286,7.2136,1.8746860027313232
native_dram,1772710607.755784,7.2136,1.9851839542388916
native_dram,1772710607.871021,7.2136,2.1004209518432617
native_dram,1772710607.978481,7.2136,2.207880973815918
native_dram,1772710608.087801,7.2136,2.3172008991241455
native_dram,1772710608.196955,7.2136,2.4263548851013184
native_dram,1772710608.309077,7.2136,2.5384769439697266
native_dram,1772710608.707353,7.2136,2.936753034591675
native_dram,1772710608.819521,7.2136,3.0489208698272705
native_dram,1772710608.930727,7.2136,3.1601269245147705
native_dram,1772710609.038479,7.2136,3.267879009246826
native_dram,1772710609.147053,7.2136,3.376452922821045
native_dram,1772710609.255643,7.2136,3.4850428104400635
native_dram,1772710609.373047,7.2136,3.602447032928467
native_dram,1772710609.610815,7.2136,3.840214967727661
native_dram,1772710609.722146,7.2136,3.9515459537506104
native_dram,1772710609.828192,7.2136,4.057591915130615
native_dram,1772710609.938225,7.2136,4.1676249504089355
native_dram,1772710610.158901,7.2136,4.388300895690918
native_dram,1772710610.266634,7.2136,4.4960339069366455
native_dram,1772710612.159852,7.2136,6.389251947402954
native_dram,1772710612.261412,7.2136,6.490811824798584
native_dram,1772710612.368517,7.2136,6.597916841506958
native_dram,1772710612.471015,7.2136,6.7004148960113525
native_dram,1772710612.806875,7.2136,7.0362749099731445
native_dram,1772710612.919013,7.2136,7.1484129428863525
native_dram,1772710613.029262,7.2136,7.258661985397339
native_dram,1772710613.139269,7.2136,7.368669033050537
native_dram,1772710613.250219,7.2136,7.479619026184082
native_dram,1772710613.358461,7.2136,7.587860822677612
native_dram,1772710613.468567,7.2136,7.697966814041138
native_dram,1772710613.577939,7.2136,7.8073389530181885
