line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.032,0.032,0,1,1769223325.514,200.0,meta-llama/Llama-3.2-1B-Instruct,1769223325.514
37,timsort,79,0.058,0.196,0,79,1769223126.931,-3.672,meta-llama/Llama-3.2-1B-Instruct,"1769223126.931, 1769223126.972, 1769223126.985, 1769223126.998, 1769223127.011"
78,timsort,167,0.158,0.688,0,115,1769223128.572,-7.054,meta-llama/Llama-3.2-1B-Instruct,"1769223128.572, 1769223128.652, 1769223128.688, 1769223128.770, 1769223128.850"
121,timsort,249,0.186,0.688,0,155,1769223136.427,-4.237,meta-llama/Llama-3.2-1B-Instruct,"1769223136.427, 1769223136.688, 1769223136.870, 1769223137.055, 1769223137.111"
158,timsort,338,0.218,0.688,0,207,1769223141.985,-3.69,meta-llama/Llama-3.2-1B-Instruct,"1769223141.985, 1769223142.135, 1769223142.181, 1769223142.270, 1769223142.508"
216,timsort,421,0.248,0.688,0,241,1769223147.382,-3.347,meta-llama/Llama-3.2-1B-Instruct,"1769223147.382, 1769223147.455, 1769223147.516, 1769223147.640, 1769223147.675"
282,timsort,503,0.275,0.688,0,265,1769223153.685,-2.065,meta-llama/Llama-3.2-1B-Instruct,"1769223153.685, 1769223153.929, 1769223154.058, 1769223154.114, 1769223154.257"
340,timsort,589,0.301,0.694,0,295,1769223160.568,-0.236,meta-llama/Llama-3.2-1B-Instruct,"1769223160.568, 1769223160.676, 1769223160.734, 1769223160.782, 1769223160.853"
391,timsort,683,0.326,0.756,0,335,1769223166.51,0.691,meta-llama/Llama-3.2-1B-Instruct,"1769223166.510, 1769223166.580, 1769223166.620, 1769223166.665, 1769223166.753"
423,timsort,784,0.348,0.967,0,405,1769223170.059,-0.802,meta-llama/Llama-3.2-1B-Instruct,"1769223170.059, 1769223170.095, 1769223170.127, 1769223170.275, 1769223170.360"
453,timsort,867,0.379,1.065,0,460,1769223172.263,-3.622,meta-llama/Llama-3.2-1B-Instruct,"1769223172.263, 1769223172.620, 1769223172.735, 1769223172.800, 1769223173.162"
486,timsort,952,0.417,1.388,0,515,1769223176.338,-4.592,meta-llama/Llama-3.2-1B-Instruct,"1769223176.338, 1769223176.528, 1769223176.573, 1769223176.619, 1769223176.721"
517,timsort,1038,0.462,9.587,0,570,1769223179.768,-6.172,meta-llama/Llama-3.2-1B-Instruct,"1769223179.768, 1769223179.808, 1769223179.872, 1769223180.017, 1769223180.116"
553,timsort,1116,0.493,9.587,0,620,1769223183.208,-7.744,meta-llama/Llama-3.2-1B-Instruct,"1769223183.208, 1769223183.488, 1769223183.602, 1769223183.707, 1769223183.819"
610,timsort,1197,0.529,9.587,0,655,1769223187.714,-8.25,meta-llama/Llama-3.2-1B-Instruct,"1769223187.714, 1769223187.842, 1769223187.972, 1769223188.006, 1769223188.428"
671,timsort,1283,0.567,9.587,0,685,1769223195.868,-5.097,meta-llama/Llama-3.2-1B-Instruct,"1769223195.868, 1769223195.991, 1769223196.172, 1769223196.213, 1769223196.260"
730,timsort,1370,0.601,9.587,0,714,1769223201.742,-4.224,meta-llama/Llama-3.2-1B-Instruct,"1769223201.742, 1769223201.791, 1769223201.833, 1769223201.897, 1769223202.016"
789,timsort,1453,0.632,9.587,0,739,1769223208.195,-2.792,meta-llama/Llama-3.2-1B-Instruct,"1769223208.195, 1769223208.590, 1769223208.638, 1769223208.677, 1769223208.717"
850,timsort,1536,0.661,9.587,0,767,1769223215.04,-0.97,meta-llama/Llama-3.2-1B-Instruct,"1769223215.040, 1769223215.154, 1769223215.256, 1769223215.297, 1769223215.695"
903,timsort,1626,0.688,9.587,0,798,1769223221.755,0.68,meta-llama/Llama-3.2-1B-Instruct,"1769223221.755, 1769223222.074, 1769223326.082, 1769223326.110, 1769223326.155"
927,timsort,1731,0.717,9.587,0,887,1769223223.641,-2.46,meta-llama/Llama-3.2-1B-Instruct,"1769223223.641, 1769223223.712, 1769223223.929, 1769223224.001, 1769223224.211"
969,timsort,1812,0.749,9.587,0,932,1769223226.861,-4.261,meta-llama/Llama-3.2-1B-Instruct,"1769223226.861, 1769223226.989, 1769223227.044, 1769223227.099, 1769223227.207"
1012,timsort,1891,0.779,9.587,0,973,1769223232.304,-3.872,meta-llama/Llama-3.2-1B-Instruct,"1769223232.304, 1769223232.435, 1769223232.492, 1769223232.598, 1769223232.752"
1048,timsort,1970,0.813,9.587,0,1014,1769223237.285,-3.897,meta-llama/Llama-3.2-1B-Instruct,"1769223237.285, 1769223237.341, 1769223237.387, 1769223237.729, 1769223237.941"
1098,timsort,2055,0.847,9.587,0,1060,1769223242.296,-3.929,meta-llama/Llama-3.2-1B-Instruct,"1769223242.296, 1769223242.354, 1769223242.493, 1769223242.745, 1769223242.796"
1155,timsort,2139,0.883,9.587,0,1092,1769223248.346,-2.932,meta-llama/Llama-3.2-1B-Instruct,"1769223248.346, 1769223248.643, 1769223248.691, 1769223248.807, 1769223248.874"
