sleep,pushint,mb,reqs,duration_s,rps,toks_s,ttft_p50_s,ttft_p99_s,tbt_p50_s,tbt_p99_s,ttlt_p50_s,ttlt_p99_s,wait_mean_s,service_mean_s,goodput_rps,violation_rate,tbt_violation_rate,path
0.001,0.001,40,2246,939.2166140079498,2.3913546316174825,401.86895586240684,0.12655,35.84915600000001,0.088,2.4253959999999997,1.72255,95.09067000000017,154.65752203918078,-141.97404029385572,1.6598939762652072,0.30587711487088154,0.047640249332146035,./timsort_hol_sleep_0.001_pushint_0.001_mb40_20260126_110110.csv
0.001,0.001,40,179,,,,,,,,,,,,,,,./timsort_hol_sleep_0.001_pushint_0.001_mb40_20260126_110110.txt.sort.csv
