mode,ts,vram_gb,t
native_dram,1772767065.171099,13.3586,0.00479888916015625
native_dram,1772767065.326742,13.3586,0.16044187545776367
native_dram,1772767065.474305,13.3586,0.30800485610961914
native_dram,1772767065.688399,13.3586,0.5220990180969238
native_dram,1772767065.81875,13.3586,0.6524498462677002
native_dram,1772767065.943896,13.3586,0.7775959968566895
native_dram,1772767066.081209,13.3586,0.9149088859558105
native_dram,1772767066.218268,13.3586,1.0519678592681885
native_dram,1772767066.348734,13.3586,1.182433843612671
native_dram,1772767066.474497,13.3586,1.308197021484375
native_dram,1772767066.605441,13.3586,1.439141035079956
native_dram,1772767066.825776,13.3586,1.6594760417938232
native_dram,1772767066.963332,13.3586,1.7970318794250488
native_dram,1772767067.088844,13.3605,1.922544002532959
native_dram,1772767067.219001,13.3605,2.052700996398926
native_dram,1772767067.35864,13.8254,2.1923398971557617
native_dram,1772767067.500658,13.8254,2.334357976913452
native_dram,1772767067.640084,13.8254,2.4737839698791504
native_dram,1772767067.780625,13.8254,2.6143250465393066
native_dram,1772767067.989571,13.8254,2.8232710361480713
native_dram,1772767068.116549,13.8254,2.950248956680298
native_dram,1772767068.237021,13.8254,3.070720911026001
native_dram,1772767068.377673,13.8254,3.2113728523254395
native_dram,1772767068.523309,13.8254,3.357008934020996
native_dram,1772767068.656222,13.8254,3.489922046661377
native_dram,1772767068.796641,13.8254,3.630341053009033
native_dram,1772767068.937484,13.8254,3.771183967590332
native_dram,1772767069.070266,13.8254,3.903965950012207
native_dram,1772767069.269637,13.8254,4.103337049484253
native_dram,1772767070.424325,13.8254,5.2580249309539795
native_dram,1772767070.552399,13.8254,5.386098861694336
native_dram,1772767076.866143,13.8254,11.699842929840088
native_dram,1772767076.991491,13.8254,11.825191020965576
native_dram,1772767077.148736,13.8254,11.982435941696167
native_dram,1772767079.034029,13.8254,13.86772894859314
native_dram,1772767079.144305,13.8254,13.978004932403564
native_dram,1772767079.283597,13.8254,14.117296934127808
native_dram,1772767079.430598,13.8254,14.26429796218872
native_dram,1772767079.56826,13.8254,14.401959896087646
native_dram,1772767079.747401,13.8254,14.581100940704346
native_dram,1772767079.884521,13.8254,14.718220949172974
native_dram,1772767080.025048,13.8254,14.858747959136963
native_dram,1772767080.164619,13.8254,14.998318910598755
native_dram,1772767080.302641,13.8254,15.136340856552124
native_dram,1772767080.488736,13.8254,15.322435855865479
native_dram,1772767080.631121,13.8254,15.464820861816406
native_dram,1772767080.949349,13.8254,15.783048868179321
native_dram,1772767081.146055,13.8254,15.97975492477417
native_dram,1772767081.347472,13.8254,16.181171894073486
native_dram,1772767081.745555,13.8254,16.579254865646362
native_dram,1772767082.428049,13.8254,17.261749029159546
native_dram,1772767082.903738,13.8254,17.737437963485718
native_dram,1772767083.045662,13.8254,17.879361867904663
native_dram,1772767083.296062,13.8254,18.129761934280396
native_dram,1772767083.434832,13.8254,18.268532037734985
native_dram,1772767083.584342,13.8254,18.418041944503784
native_dram,1772767083.773,13.8254,18.60669994354248
native_dram,1772767084.004908,13.8254,18.838608026504517
native_dram,1772767084.188383,13.8254,19.022083044052124
native_dram,1772767084.54205,13.8254,19.375749826431274
native_dram,1772767084.747432,13.8254,19.58113193511963
native_dram,1772767084.961726,13.8254,19.79542589187622
native_dram,1772767085.14105,13.8254,19.97475004196167
native_dram,1772767085.328072,13.8254,20.16177201271057
native_dram,1772767085.815655,13.8254,20.649354934692383
native_dram,1772767086.022241,13.8254,20.8559410572052
native_dram,1772767086.166701,13.8254,21.00040102005005
native_dram,1772767086.302203,13.8254,21.135902881622314
native_dram,1772767086.451002,13.8254,21.284701824188232
native_dram,1772767086.595556,13.8254,21.429255962371826
native_dram,1772767087.216042,13.8254,22.049741983413696
native_dram,1772767087.432678,13.8254,22.266377925872803
native_dram,1772767087.563763,13.8254,22.397462844848633
native_dram,1772767087.712641,13.8254,22.546340942382812
native_dram,1772767087.81647,13.8254,22.650169849395752
native_dram,1772767088.180569,13.8254,23.01426887512207
native_dram,1772767088.33447,13.8254,23.16816997528076
native_dram,1772767088.534164,13.8254,23.36786389350891
native_dram,1772767088.662049,13.8254,23.49574899673462
native_dram,1772767088.798312,13.8254,23.632011890411377
native_dram,1772767089.005936,13.8254,23.839635848999023
native_dram,1772767089.321112,13.8254,24.15481185913086
native_dram,1772767089.469161,13.8254,24.302860975265503
native_dram,1772767089.656645,13.8254,24.490345001220703
native_dram,1772767089.86681,13.8254,24.700510025024414
native_dram,1772767090.088223,13.8254,24.9219229221344
native_dram,1772767090.191859,13.8254,25.025558948516846
native_dram,1772767090.525913,13.8254,25.359612941741943
native_dram,1772767090.832195,13.8254,25.665894985198975
native_dram,1772767090.979978,13.8254,25.81367802619934
native_dram,1772767091.112232,13.8254,25.945931911468506
native_dram,1772767091.238854,13.8254,26.072553873062134
native_dram,1772767091.372557,13.8254,26.206256866455078
native_dram,1772767091.566346,13.8254,26.40004587173462
native_dram,1772767091.740239,13.8254,26.573938846588135
native_dram,1772767091.964829,13.8254,26.798528909683228
native_dram,1772767092.193599,13.8254,27.02729892730713
native_dram,1772767092.709385,13.8254,27.543084859848022
native_dram,1772767092.92343,13.8254,27.757129907608032
native_dram,1772767093.072773,13.8254,27.90647292137146
native_dram,1772767093.213416,13.8254,28.04711604118347
native_dram,1772767093.411896,13.8254,28.245595932006836
native_dram,1772767093.64763,13.8254,28.481329917907715
native_dram,1772767093.754696,13.8254,28.588395833969116
native_dram,1772767094.170496,13.8254,29.00419592857361
native_dram,1772767094.348539,13.8254,29.182239055633545
native_dram,1772767094.527033,13.8254,29.360733032226562
native_dram,1772767094.654644,13.8254,29.488343954086304
native_dram,1772767094.80172,13.8254,29.635419845581055
native_dram,1772767095.004188,13.8254,29.83788800239563
native_dram,1772767095.143576,13.8254,29.977275848388672
native_dram,1772767095.315687,13.8254,30.149386882781982
native_dram,1772767095.501287,13.8254,30.334986925125122
native_dram,1772767095.681189,13.8254,30.514889001846313
native_dram,1772767095.862164,13.8254,30.695863962173462
native_dram,1772767096.011401,13.8254,30.84510087966919
native_dram,1772767096.491282,13.8254,31.324981927871704
native_dram,1772767096.949646,13.8254,31.783345937728882
native_dram,1772767097.164604,13.8254,31.99830389022827
native_dram,1772767097.310438,13.8254,32.14413785934448
native_dram,1772767097.451743,13.8254,32.28544282913208
native_dram,1772767097.701577,13.8254,32.535276889801025
native_dram,1772767097.938726,13.8254,32.77242588996887
native_dram,1772767098.246057,13.8254,33.07975697517395
native_dram,1772767098.387556,13.8254,33.22125601768494
native_dram,1772767098.538423,13.8254,33.37212300300598
native_dram,1772767098.684322,13.8254,33.51802206039429
native_dram,1772767098.884506,13.8254,33.71820592880249
native_dram,1772767099.280697,13.8254,34.114397048950195
native_dram,1772767099.416184,13.8254,34.24988389015198
native_dram,1772767099.561085,13.8254,34.394784927368164
native_dram,1772767099.834789,13.8254,34.6684889793396
native_dram,1772767100.131076,13.8254,34.964776039123535
native_dram,1772767100.362681,13.8254,35.196380853652954
native_dram,1772767100.495565,13.8254,35.329264879226685
native_dram,1772767100.632372,13.8254,35.46607184410095
native_dram,1772767100.986469,13.8254,35.82016897201538
native_dram,1772767101.261822,13.8254,36.09552192687988
native_dram,1772767101.642915,13.8254,36.4766149520874
native_dram,1772767101.818603,13.8254,36.652302980422974
native_dram,1772767102.025223,13.8254,36.85892295837402
native_dram,1772767102.169565,13.8254,37.00326490402222
native_dram,1772767102.536965,13.8254,37.370664834976196
native_dram,1772767102.939837,13.8254,37.773536920547485
native_dram,1772767103.146253,13.8254,37.9799530506134
native_dram,1772767103.328395,13.8254,38.162094831466675
native_dram,1772767103.473334,13.8254,38.30703401565552
native_dram,1772767103.773702,13.8254,38.607401847839355
native_dram,1772767104.02736,13.8254,38.86105990409851
native_dram,1772767104.211427,13.8254,39.04512691497803
native_dram,1772767104.387856,13.8254,39.221555948257446
native_dram,1772767104.52794,13.8254,39.361639976501465
native_dram,1772767104.657326,13.8254,39.49102592468262
native_dram,1772767105.041731,13.8254,39.875431060791016
native_dram,1772767105.330873,13.8254,40.164572954177856
native_dram,1772767105.473786,13.8254,40.307486057281494
native_dram,1772767105.614032,13.8254,40.44773197174072
native_dram,1772767105.856303,13.8254,40.69000291824341
native_dram,1772767106.219019,13.8254,41.05271887779236
native_dram,1772767106.40443,13.8254,41.23812985420227
native_dram,1772767106.596297,13.8273,41.429996967315674
native_dram,1772767106.740989,13.8273,41.57468891143799
native_dram,1772767106.963603,13.8273,41.79730296134949
native_dram,1772767107.112916,13.8273,41.94661593437195
native_dram,1772767107.382228,13.8273,42.215927839279175
native_dram,1772767107.575473,13.8273,42.409173011779785
native_dram,1772767107.868935,13.8273,42.702635049819946
native_dram,1772767108.010586,13.8273,42.84428596496582
native_dram,1772767108.133016,13.8273,42.966716051101685
native_dram,1772767108.270934,13.8273,43.104634046554565
native_dram,1772767108.529905,13.8273,43.36360502243042
native_dram,1772767108.699092,13.8273,43.53279185295105
native_dram,1772767108.926724,13.8273,43.7604238986969
native_dram,1772767109.06548,13.8273,43.89917993545532
native_dram,1772767109.222398,13.8273,44.056097984313965
native_dram,1772767109.435153,13.8273,44.268852949142456
native_dram,1772767109.535953,13.8273,44.36965298652649
native_dram,1772767109.80964,13.8273,44.64333987236023
native_dram,1772767110.122167,13.8273,44.95586705207825
native_dram,1772767110.337102,13.8273,45.170801877975464
native_dram,1772767110.475124,13.8273,45.30882382392883
native_dram,1772767110.642924,13.8273,45.47662401199341
native_dram,1772767110.876685,13.8273,45.71038484573364
native_dram,1772767111.128953,13.8273,45.962652921676636
native_dram,1772767111.269208,13.8273,46.10290789604187
native_dram,1772767111.41122,13.8273,46.24492001533508
native_dram,1772767111.520193,13.8273,46.35389304161072
native_dram,1772767111.697315,13.8273,46.531014919281006
native_dram,1772767111.849063,13.8273,46.68276286125183
native_dram,1772767112.318922,13.8273,47.15262198448181
native_dram,1772767112.497434,13.8273,47.33113384246826
native_dram,1772767112.64158,13.8273,47.47528004646301
native_dram,1772767112.783991,13.8273,47.61769104003906
native_dram,1772767112.92324,13.8273,47.75693988800049
native_dram,1772767113.047845,13.8273,47.88154482841492
native_dram,1772767113.321791,13.8273,48.15549087524414
native_dram,1772767113.615743,13.8273,48.449442863464355
native_dram,1772767114.114326,13.8273,48.948025941848755
native_dram,1772767114.234499,13.8273,49.068198919296265
native_dram,1772767114.444338,13.8273,49.278038024902344
native_dram,1772767114.594543,13.8273,49.428242921829224
native_dram,1772767114.718667,13.8273,49.552366971969604
native_dram,1772767114.819499,13.8273,49.65319895744324
native_dram,1772767115.00518,13.8273,49.83887982368469
native_dram,1772767115.163742,13.8273,49.99744200706482
native_dram,1772767115.298696,13.8273,50.13239598274231
native_dram,1772767115.494802,13.8273,50.32850193977356
native_dram,1772767116.040679,13.8273,50.87437891960144
native_dram,1772767116.241154,13.8273,51.07485389709473
native_dram,1772767116.436831,13.8273,51.27053093910217
native_dram,1772767116.573486,13.8273,51.40718603134155
native_dram,1772767116.717887,13.8273,51.551586866378784
native_dram,1772767117.002867,13.8273,51.83656692504883
native_dram,1772767117.141436,13.8273,51.975136041641235
native_dram,1772767117.359881,13.8273,52.193580865859985
native_dram,1772767117.585313,13.8273,52.419013023376465
native_dram,1772767117.724902,13.8273,52.55860185623169
native_dram,1772767117.873569,13.8273,52.707268953323364
native_dram,1772767118.149487,13.8273,52.98318696022034
native_dram,1772767118.34599,13.8273,53.17968988418579
native_dram,1772767118.491964,13.8273,53.325664043426514
native_dram,1772767118.667542,13.8273,53.50124192237854
native_dram,1772767118.924672,13.8273,53.75837182998657
native_dram,1772767119.377488,13.8273,54.21118783950806
native_dram,1772767119.550831,13.8273,54.384531021118164
native_dram,1772767119.739831,13.8273,54.57353091239929
native_dram,1772767119.932788,13.8273,54.76648783683777
native_dram,1772767120.080925,13.8273,54.9146249294281
native_dram,1772767120.293297,13.8273,55.126996994018555
native_dram,1772767120.775005,13.8273,55.608705043792725
native_dram,1772767120.880242,13.8273,55.71394205093384
native_dram,1772767121.021607,13.8273,55.85530686378479
native_dram,1772767121.144032,13.8273,55.97773194313049
native_dram,1772767121.276917,13.8273,56.11061692237854
native_dram,1772767121.418949,13.8273,56.25264883041382
native_dram,1772767121.54597,13.8273,56.37966990470886
native_dram,1772767121.739949,13.8273,56.57364892959595
native_dram,1772767122.343857,13.8273,57.17755699157715
native_dram,1772767122.510741,13.8273,57.344440937042236
native_dram,1772767122.70542,13.8273,57.53911995887756
native_dram,1772767123.083968,13.8273,57.917667865753174
native_dram,1772767123.281164,13.8273,58.114863872528076
native_dram,1772767123.415749,13.8273,58.249449014663696
native_dram,1772767123.553916,13.8273,58.38761591911316
native_dram,1772767123.690605,13.8273,58.52430486679077
native_dram,1772767123.875598,13.8273,58.70929789543152
native_dram,1772767124.12482,13.8273,58.95851993560791
native_dram,1772767124.324838,13.8273,59.15853786468506
native_dram,1772767124.517392,13.8273,59.35109186172485
native_dram,1772767124.769003,13.8273,59.60270285606384
native_dram,1772767124.930502,13.8273,59.76420187950134
native_dram,1772767125.074603,13.8273,59.908303022384644
native_dram,1772767125.354448,13.8273,60.188148021698
native_dram,1772767125.493607,13.8273,60.3273069858551
