mode,ts,event,t
native_disk,1772768180.305179,serialize,1.907879114151001
native_disk,1772768180.305402,serialize,1.908102035522461
native_disk,1772768180.558608,serialize,2.1613080501556396
native_disk,1772768180.558705,serialize,2.161405086517334
native_disk,1772768181.730424,serialize,3.3331239223480225
native_disk,1772768181.730584,serialize,3.3332839012145996
native_disk,1772768181.730861,serialize,3.3335609436035156
native_disk,1772768181.736382,serialize,3.3390820026397705
native_disk,1772768181.742633,serialize,3.3453330993652344
native_disk,1772768181.744556,serialize,3.3472559452056885
native_disk,1772768181.744711,serialize,3.3474109172821045
native_disk,1772768181.747368,serialize,3.3500680923461914
native_disk,1772768181.750409,serialize,3.3531088829040527
native_disk,1772768181.752567,serialize,3.35526704788208
native_disk,1772768181.755575,serialize,3.3582749366760254
native_disk,1772768181.756218,serialize,3.3589179515838623
native_disk,1772768181.758637,serialize,3.3613369464874268
native_disk,1772768181.760353,serialize,3.3630530834198
native_disk,1772768181.763211,serialize,3.3659110069274902
native_disk,1772768181.763798,serialize,3.3664979934692383
native_disk,1772768181.769589,serialize,3.372288942337036
native_disk,1772768181.768197,serialize,3.370897054672241
native_disk,1772768181.771456,serialize,3.3741559982299805
native_disk,1772768181.771516,serialize,3.374216079711914
native_disk,1772768181.777652,serialize,3.380352020263672
native_disk,1772768181.778922,serialize,3.381622076034546
native_disk,1772768181.778998,serialize,3.3816978931427
native_disk,1772768181.779159,serialize,3.381859064102173
native_disk,1772768181.786369,serialize,3.389069080352783
native_disk,1772768181.786878,serialize,3.389578104019165
native_disk,1772768182.022337,serialize,3.6250369548797607
native_disk,1772768182.022637,serialize,3.6253368854522705
native_disk,1772768182.022805,serialize,3.625504970550537
native_disk,1772768182.660062,serialize,4.262762069702148
native_disk,1772768182.660268,serialize,4.262968063354492
native_disk,1772768182.664973,serialize,4.267673015594482
native_disk,1772768182.665852,serialize,4.26855206489563
native_disk,1772768182.672101,serialize,4.274801015853882
native_disk,1772768182.674402,serialize,4.277101993560791
native_disk,1772768182.675287,serialize,4.277987003326416
native_disk,1772768182.677867,serialize,4.280566930770874
native_disk,1772768182.683197,serialize,4.2858970165252686
native_disk,1772768182.684923,serialize,4.287622928619385
native_disk,1772768182.685698,serialize,4.288398027420044
native_disk,1772768182.686409,serialize,4.289108991622925
native_disk,1772768182.70048,serialize,4.303179979324341
native_disk,1772768182.870314,serialize,4.473013877868652
native_disk,1772768182.870809,serialize,4.473509073257446
native_disk,1772768183.29962,serialize,4.90231990814209
native_disk,1772768183.299905,serialize,4.902605056762695
native_disk,1772768183.30206,serialize,4.904759883880615
native_disk,1772768183.464988,serialize,5.06768798828125
native_disk,1772768183.465322,serialize,5.068022012710571
native_disk,1772768184.290426,serialize,5.893126010894775
native_disk,1772768184.290243,serialize,5.892942905426025
native_disk,1772768184.294091,serialize,5.896790981292725
native_disk,1772768184.294232,serialize,5.896931886672974
native_disk,1772768184.303134,serialize,5.905833959579468
native_disk,1772768184.303216,serialize,5.905915975570679
native_disk,1772768184.305535,serialize,5.9082350730896
native_disk,1772768184.306244,serialize,5.9089438915252686
native_disk,1772768184.311454,serialize,5.914154052734375
native_disk,1772768184.313227,serialize,5.915926933288574
native_disk,1772768184.314941,serialize,5.917640924453735
native_disk,1772768184.315484,serialize,5.918184041976929
native_disk,1772768184.321114,serialize,5.923814058303833
native_disk,1772768184.321171,serialize,5.923871040344238
native_disk,1772768184.322335,serialize,5.925034999847412
native_disk,1772768184.323453,serialize,5.926152944564819
native_disk,1772768184.328497,serialize,5.931196928024292
native_disk,1772768184.330776,serialize,5.933475971221924
native_disk,1772768184.609191,serialize,6.211890935897827
native_disk,1772768184.609462,serialize,6.212162017822266
native_disk,1772768184.60963,serialize,6.212330102920532
native_disk,1772768184.613136,serialize,6.215836048126221
native_disk,1772768184.621895,serialize,6.224595069885254
native_disk,1772768190.752706,serialize,12.355406045913696
native_disk,1772768190.753388,serialize,12.356087923049927
native_disk,1772768190.752791,serialize,12.355490922927856
native_disk,1772768190.878692,serialize,12.481391906738281
native_disk,1772768190.878616,serialize,12.481316089630127
