t_s,throughput_rps,swap (count/s),run_cnt,wait_cnt,vram_used_gib,vram_used_ratio,swap_active
0.0,,,,,,,0
9.0,0.0,0.0,14.0,2.0,7.984999999999999,0.5323333333333333,0
12.0,15.666666666666666,0.0,15.228070175438598,2.175438596491228,8.245526315789474,0.5497017543859649,0
13.0,11.75,0.0,33.421052631578945,4.131578947368421,9.534144736842105,0.635609649122807,0
