mode,ts,event,t
native_disk,1772729074.26404,serialize,0.5032401084899902
native_disk,1772729074.264196,serialize,0.5033960342407227
native_disk,1772729074.600918,serialize,0.8401181697845459
native_disk,1772729074.600851,serialize,0.8400511741638184
native_disk,1772729074.605487,serialize,0.8446872234344482
native_disk,1772729074.605831,serialize,0.8450310230255127
native_disk,1772729074.606124,serialize,0.8453240394592285
native_disk,1772729074.607775,serialize,0.8469750881195068
native_disk,1772729074.609408,serialize,0.8486080169677734
native_disk,1772729074.609725,serialize,0.8489251136779785
native_disk,1772729074.707363,serialize,0.9465630054473877
native_disk,1772729074.707715,serialize,0.9469151496887207
native_disk,1772729074.874628,serialize,1.113828182220459
native_disk,1772729074.874841,serialize,1.1140410900115967
native_disk,1772729074.877605,serialize,1.116805076599121
native_disk,1772729074.878207,serialize,1.1174070835113525
native_disk,1772729074.992,serialize,1.2312002182006836
native_disk,1772729074.992401,serialize,1.2316009998321533
native_disk,1772729075.229241,serialize,1.4684410095214844
native_disk,1772729075.229346,serialize,1.4685461521148682
native_disk,1772729075.229172,serialize,1.468372106552124
native_disk,1772729075.232025,serialize,1.4712250232696533
native_disk,1772729075.234543,serialize,1.473743200302124
native_disk,1772729075.234591,serialize,1.4737911224365234
native_disk,1772729075.371293,serialize,1.6104931831359863
native_disk,1772729075.371388,serialize,1.6105880737304688
native_disk,1772729075.371907,serialize,1.6111071109771729
native_disk,1772729075.617627,serialize,1.8568270206451416
native_disk,1772729075.61803,serialize,1.8572301864624023
native_disk,1772729075.618404,serialize,1.8576040267944336
native_disk,1772729075.620499,serialize,1.859699010848999
native_disk,1772729075.621393,serialize,1.8605930805206299
native_disk,1772729075.621602,serialize,1.860802173614502
native_disk,1772729075.735306,serialize,1.974506139755249
native_disk,1772729075.735765,serialize,1.9749650955200195
native_disk,1772729075.930581,serialize,2.16978120803833
native_disk,1772729075.93131,serialize,2.1705100536346436
native_disk,1772729075.93152,serialize,2.170720100402832
native_disk,1772729075.932637,serialize,2.171837091445923
native_disk,1772729075.934961,serialize,2.174161195755005
native_disk,1772729076.093643,serialize,2.332843065261841
native_disk,1772729076.093915,serialize,2.3331151008605957
native_disk,1772729076.094426,serialize,2.3336260318756104
native_disk,1772729076.312452,serialize,2.551652193069458
native_disk,1772729076.312672,serialize,2.5518720149993896
native_disk,1772729076.312997,serialize,2.552197217941284
native_disk,1772729076.314542,serialize,2.5537421703338623
native_disk,1772729076.316319,serialize,2.5555191040039062
