file,chunked,mb,out_dir,hol_corr
timsort_hol_sleep_0.0001_pushint_0.01_mb80_chunked_0_20260130_201218.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.01_mb80_chunked_0_20260130_201218,0.4649453418776063
timsort_hol_sleep_0.0001_pushint_0.01_mb80_chunked_1_20260130_174229.csv,1,80,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.01_mb80_chunked_1_20260130_174229,0.7113988913441135
timsort_hol_sleep_0.001_pushint_0.0001_mb100_chunked_0_20260130_153712.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.0001_mb100_chunked_0_20260130_153712,
timsort_hol_sleep_0.001_pushint_0.0001_mb100_chunked_1_20260130_130509.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.0001_mb100_chunked_1_20260130_130509,0.22525168484344574
timsort_hol_sleep_0.001_pushint_0.0001_mb20_chunked_0_20260131_103522.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.0001_mb20_chunked_0_20260131_103522,0.7829977338027867
timsort_hol_sleep_0.001_pushint_0.0001_mb20_chunked_1_20260131_081457.csv,1,20,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.0001_mb20_chunked_1_20260131_081457,0.8287423628505362
timsort_hol_sleep_0.001_pushint_0.0001_mb40_chunked_0_20260131_055646.csv,0,40,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.0001_mb40_chunked_0_20260131_055646,0.1854593699778101
timsort_hol_sleep_0.001_pushint_0.0001_mb40_chunked_1_20260131_033426.csv,1,40,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.0001_mb40_chunked_1_20260131_033426,0.1898441849659416
timsort_hol_sleep_0.001_pushint_0.0001_mb60_chunked_0_20260131_011436.csv,0,60,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.0001_mb60_chunked_0_20260131_011436,0.6271241117693509
timsort_hol_sleep_0.001_pushint_0.0001_mb60_chunked_1_20260130_224824.csv,1,60,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.0001_mb60_chunked_1_20260130_224824,0.18230961888621228
timsort_hol_sleep_0.001_pushint_0.0001_mb80_chunked_0_20260130_202729.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.0001_mb80_chunked_0_20260130_202729,0.3705172866203258
timsort_hol_sleep_0.001_pushint_0.0001_mb80_chunked_1_20260130_175910.csv,1,80,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.0001_mb80_chunked_1_20260130_175910,0.2515433680220666
timsort_hol_sleep_0.001_pushint_0.001_mb100_chunked_0_20260130_155225.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.001_mb100_chunked_0_20260130_155225,0.11764704226047062
timsort_hol_sleep_0.001_pushint_0.001_mb100_chunked_1_20260130_132342.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.001_mb100_chunked_1_20260130_132342,0.3174851648361896
timsort_hol_sleep_0.001_pushint_0.001_mb20_chunked_0_20260131_105056.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.001_mb20_chunked_0_20260131_105056,0.7568718782434128
timsort_hol_sleep_0.001_pushint_0.001_mb20_chunked_1_20260131_083030.csv,1,20,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.001_mb20_chunked_1_20260131_083030,0.7101007698864022
timsort_hol_sleep_0.001_pushint_0.001_mb40_chunked_0_20260131_061158.csv,0,40,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.001_mb40_chunked_0_20260131_061158,0.28503879985755975
