t_s,throughput_rps,swap (count/s),run_cnt,wait_cnt,vram_used_gib,vram_used_ratio,swap_active
0.0,,,,,,,0
1.0,20.5,0.0,18.5625,0.0,8.322812500000001,0.5548541666666666,0
