n_total,n_short,hol_corr,p95_short_q,p99_short_q,hol_frac,success_rate_pct_end,sleep,pushint,file
2425,1215,0.0051197323930582805,55.27184,66.27852799999998,0.297119341563786,100.0,0.01,0.01,timsort_hol_sleep_0.01_pushint_0.01_20260119_043141.csv
2301,1172,-0.024391326276196362,59.03488500000001,70.03994399999999,0.31399317406143346,100.0,0.01,0.05,timsort_hol_sleep_0.01_pushint_0.05_20260119_041713.csv
2360,1191,0.02078361267161242,30.4571,39.43057999999997,0.1998320738874895,100.0,0.01,0.1,timsort_hol_sleep_0.01_pushint_0.1_20260119_040252.csv
1021,511,0.6805197651321089,0.15625,0.18817999999999996,0.0,100.0,0.01,0.5,timsort_hol_sleep_0.01_pushint_0.5_20260119_034836.csv
545,275,0.6830487422581877,0.09146,0.09616399999999999,0.0,100.0,0.01,1.0,timsort_hol_sleep_0.01_pushint_1.0_20260119_033425.csv
56,30,,0.058855,0.059255,0.0,100.0,0.01,10.0,timsort_hol_sleep_0.01_pushint_10.0_20260119_030602.csv
114,57,,0.059699999999999996,0.09155599999999985,0.0,100.0,0.01,5.0,timsort_hol_sleep_0.01_pushint_5.0_20260119_032013.csv
4370,2193,-0.03958700333775381,628.4510600000002,685.454512,0.9115367077063383,23.21,0.05,0.01,timsort_hol_sleep_0.05_pushint_0.01_20260119_061156.csv
2276,1147,0.01944650389345359,25.881820000000005,40.66771799999998,0.17262423714036618,100.0,0.05,0.05,timsort_hol_sleep_0.05_pushint_0.05_20260119_055734.csv
2294,1159,0.025075222054933618,39.933019999999985,50.99723800000002,0.2200172562553926,100.0,0.05,0.1,timsort_hol_sleep_0.05_pushint_0.1_20260119_054312.csv
1049,525,0.6665883964636675,0.18761999999999998,0.22751599999999994,0.0,100.0,0.05,0.5,timsort_hol_sleep_0.05_pushint_0.5_20260119_052859.csv
558,280,0.4816836183127567,0.13120500000000002,0.134321,0.0,100.0,0.05,1.0,timsort_hol_sleep_0.05_pushint_1.0_20260119_051441.csv
56,30,,0.098855,0.0989,0.0,100.0,0.05,10.0,timsort_hol_sleep_0.05_pushint_10.0_20260119_044613.csv
115,58,,0.09883,0.09917200000000001,0.0,100.0,0.05,5.0,timsort_hol_sleep_0.05_pushint_5.0_20260119_050026.csv
3987,2012,-0.13620520754980098,859.7364049999998,923.2550779999999,0.9512922465208747,12.75,0.1,0.01,timsort_hol_sleep_0.1_pushint_0.01_20260119_081053.csv
3966,2005,-0.02385930298354394,568.28422,599.205408,0.9172069825436409,21.69,0.1,0.05,timsort_hol_sleep_0.1_pushint_0.05_20260119_074716.csv
2052,1033,0.04023717709439517,3.413059999999995,13.242239999999978,0.061955469506292354,100.0,0.1,0.1,timsort_hol_sleep_0.1_pushint_0.1_20260119_073303.csv
1062,534,0.36579604804575677,0.22862499999999994,0.27204499999999987,0.0,100.0,0.1,0.5,timsort_hol_sleep_0.1_pushint_0.5_20260119_071847.csv
552,276,0.2675043629960524,0.178475,0.18455,0.0,100.0,0.1,1.0,timsort_hol_sleep_0.1_pushint_1.0_20260119_070433.csv
56,30,,0.1488,0.148942,0.0,100.0,0.1,10.0,timsort_hol_sleep_0.1_pushint_10.0_20260119_063608.csv
115,58,,0.14871499999999999,0.148943,0.0,100.0,0.1,5.0,timsort_hol_sleep_0.1_pushint_5.0_20260119_065020.csv
1826,940,0.030494586017419095,1058.8632650000002,1132.848126,0.9914893617021276,3.47,0.5,0.01,timsort_hol_sleep_0.5_pushint_0.01_20260119_102028.csv
1935,995,-0.015602884116596981,1011.2885799999999,1085.667188,0.9819095477386934,6.31,0.5,0.05,timsort_hol_sleep_0.5_pushint_0.05_20260119_095615.csv
1955,992,0.01308373477417794,894.4941349999998,995.956948,0.9737903225806451,9.49,0.5,0.1,timsort_hol_sleep_0.5_pushint_0.1_20260119_093202.csv
978,492,0.47380430407473056,0.6357149999999999,0.690325,0.0,100.0,0.5,0.5,timsort_hol_sleep_0.5_pushint_0.5_20260119_091748.csv
560,282,0.15004058598045203,0.571555,0.583438,0.0,100.0,0.5,1.0,timsort_hol_sleep_0.5_pushint_1.0_20260119_090333.csv
56,30,,0.548365,0.548784,0.0,100.0,0.5,10.0,timsort_hol_sleep_0.5_pushint_10.0_20260119_083508.csv
115,58,,0.54312,0.548559,0.0,100.0,0.5,5.0,timsort_hol_sleep_0.5_pushint_5.0_20260119_084920.csv
1027,532,-0.04807328624420469,1075.525635,1127.7918549999995,0.9943609022556391,2.44,1.0,0.01,timsort_hol_sleep_1.0_pushint_0.01_20260119_124008.csv
1070,564,0.006216723465009051,1052.8918450000003,1125.6091450000001,0.9946808510638298,3.72,1.0,0.05,timsort_hol_sleep_1.0_pushint_0.05_20260119_121552.csv
1069,541,-0.1188369518473198,1016.7119,1069.6059400000001,0.988909426987061,5.45,1.0,0.1,timsort_hol_sleep_1.0_pushint_0.1_20260119_115136.csv
1078,539,-0.055216436859375766,606.6288,637.137772,0.9684601113172542,20.21,1.0,0.5,timsort_hol_sleep_1.0_pushint_0.5_20260119_112722.csv
536,268,0.016468676589595374,1.08335,1.1150789999999997,0.1828358208955224,100.0,1.0,1.0,timsort_hol_sleep_1.0_pushint_1.0_20260119_111307.csv
56,30,,1.0486199999999999,1.049368,0.0,100.0,1.0,10.0,timsort_hol_sleep_1.0_pushint_10.0_20260119_104444.csv
115,58,,1.028955,1.0495860000000001,0.0,100.0,1.0,5.0,timsort_hol_sleep_1.0_pushint_5.0_20260119_105855.csv
