line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
29,timsort,1,0.034,0.034,0,142,1770002169.259,-1.847,meta-llama/Llama-3.2-1B-Instruct,
32,timsort,231,0.135,1.174,0,381,1770002169.259,-6.851,meta-llama/Llama-3.2-1B-Instruct,
35,timsort,472,0.223,1.805,0,381,1770002169.259,-6.851,meta-llama/Llama-3.2-1B-Instruct,"1770002169.259, 1770002169.270, 1770002169.312, 1770002169.350, 1770002169.361"
78,timsort,506,0.256,1.805,0,533,1770002170.9,-16.075,meta-llama/Llama-3.2-1B-Instruct,
81,timsort,603,0.324,1.805,0,629,1770002170.9,-21.124,meta-llama/Llama-3.2-1B-Instruct,
84,timsort,697,0.392,1.805,0,729,1770002170.9,-26.152,meta-llama/Llama-3.2-1B-Instruct,
87,timsort,795,0.46,1.805,0,827,1770002170.9,-31.164,meta-llama/Llama-3.2-1B-Instruct,
90,timsort,897,0.53,1.805,0,930,1770002170.9,-36.212,meta-llama/Llama-3.2-1B-Instruct,
94,timsort,1003,0.604,1.98,0,1026,1770002170.912,-41.221,meta-llama/Llama-3.2-1B-Instruct,
97,timsort,1098,0.674,4.421,0,1123,1770002170.912,-46.251,meta-llama/Llama-3.2-1B-Instruct,
100,timsort,1202,0.749,4.421,0,1123,1770002170.912,-46.251,meta-llama/Llama-3.2-1B-Instruct,"1770002170.912, 1770002170.924, 1770002170.935, 1770002171.069, 1770002171.106"
103,timsort,1306,0.818,4.421,0,1320,1770002170.912,-56.299,meta-llama/Llama-3.2-1B-Instruct,
106,timsort,1400,0.883,4.421,0,1422,1770002170.912,-61.348,meta-llama/Llama-3.2-1B-Instruct,
109,timsort,1493,0.953,6.354,0,1422,1770002170.912,-61.348,meta-llama/Llama-3.2-1B-Instruct,"1770002170.912, 1770002170.924, 1770002170.935, 1770002171.069, 1770002171.106"
113,timsort,1593,1.018,6.354,0,1616,1770002170.924,-71.414,meta-llama/Llama-3.2-1B-Instruct,
116,timsort,1695,1.089,6.354,0,1616,1770002170.924,-71.414,meta-llama/Llama-3.2-1B-Instruct,"1770002170.924, 1770002170.935, 1770002171.069, 1770002171.106, 1770002171.144"
140,timsort,1798,1.146,6.354,0,1699,1770002171.7,-75.899,meta-llama/Llama-3.2-1B-Instruct,"1770002171.700, 1770002171.766, 1770002171.778, 1770002171.790, 1770002171.801"
263,timsort,1864,1.186,6.354,0,1767,1770002173.003,-79.604,meta-llama/Llama-3.2-1B-Instruct,"1770002173.003, 1770002173.015, 1770002173.053, 1770002173.128, 1770002173.138"
330,timsort,1929,1.251,9.548,0,1767,1770002175.327,-82.313,meta-llama/Llama-3.2-1B-Instruct,"1770002175.327, 1770002175.338, 1770002175.351, 1770002175.362, 1770002175.374"
398,timsort,1995,1.31,9.548,0,1767,1770002177.713,-85.012,meta-llama/Llama-3.2-1B-Instruct,"1770002177.713, 1770002177.725, 1770002177.737, 1770002177.810, 1770002177.822"
469,timsort,2064,1.363,9.548,0,1767,1770002187.449,-80.34,meta-llama/Llama-3.2-1B-Instruct,"1770002187.449, 1770002187.488, 1770002187.517, 1770002187.661, 1770002187.708"
549,timsort,2125,1.406,9.548,0,1767,1770002193.872,-78.992,meta-llama/Llama-3.2-1B-Instruct,"1770002193.872, 1770002193.897, 1770002193.948, 1770002193.987, 1770002194.015"
614,timsort,2200,1.461,9.548,0,1767,1770002201.3,-76.582,meta-llama/Llama-3.2-1B-Instruct,"1770002201.300, 1770002201.356, 1770002201.380, 1770002201.430, 1770002201.483"
691,timsort,2267,1.508,9.548,0,1767,1770002207.552,-75.352,meta-llama/Llama-3.2-1B-Instruct,"1770002207.552, 1770002207.643, 1770002207.769, 1770002207.808, 1770002208.161"
772,timsort,2332,1.548,9.548,0,1767,1770002215.619,-72.33,meta-llama/Llama-3.2-1B-Instruct,"1770002215.619, 1770002215.731, 1770002215.756, 1770002215.927, 1770002215.956"
850,timsort,2401,1.6,9.67,0,1767,1770002221.375,-71.573,meta-llama/Llama-3.2-1B-Instruct,"1770002221.375, 1770002221.525, 1770002221.569, 1770002221.702, 1770002221.897"
925,timsort,2472,1.638,9.67,0,1767,1770002228.52,-69.433,meta-llama/Llama-3.2-1B-Instruct,"1770002228.520, 1770002228.584, 1770002228.623, 1770002228.792, 1770002228.956"
997,timsort,2546,1.673,9.67,0,1767,1770002236.017,-67.0,meta-llama/Llama-3.2-1B-Instruct,"1770002236.017, 1770002236.127, 1770002236.334, 1770002236.377, 1770002236.647"
1069,timsort,2620,1.718,17.75,0,1767,1770002243.494,-64.534,meta-llama/Llama-3.2-1B-Instruct,"1770002243.494, 1770002243.533, 1770002243.564, 1770002243.677, 1770002243.705"
1159,timsort,2692,1.751,17.75,0,1767,1770002251.154,-61.902,meta-llama/Llama-3.2-1B-Instruct,"1770002251.154, 1770002251.275, 1770002251.302, 1770002251.328, 1770002253.078"
1235,timsort,2766,1.783,17.75,0,1767,1770002263.916,-54.197,meta-llama/Llama-3.2-1B-Instruct,"1770002263.916, 1770002263.972, 1770002264.065, 1770002264.128, 1770002264.238"
1318,timsort,2840,1.817,17.75,0,1767,1770002275.571,-47.543,meta-llama/Llama-3.2-1B-Instruct,"1770002275.571, 1770002275.609, 1770002275.670, 1770002275.757, 1770002275.993"
1393,timsort,2912,1.844,17.75,0,1767,1770002283.975,-44.199,meta-llama/Llama-3.2-1B-Instruct,"1770002283.975, 1770002284.060, 1770002284.219, 1770002284.322, 1770002284.652"
1469,timsort,2987,1.873,17.75,0,1767,1770002295.064,-38.124,meta-llama/Llama-3.2-1B-Instruct,"1770002295.064, 1770002295.208, 1770002295.261, 1770002295.599, 1770002295.655"
