t_s,throughput_rps,swap_cnt,run_cnt,wait_cnt,vram_used_gib,vram_used_ratio,swap_active
0.0,,,,,,,0
6.0,1.5,0.0,0.0,0.0,6.71,0.44733333333333336,0
