t_s,throughput_rps,swap_cnt,run_cnt,wait_cnt,vram_used_gib,vram_used_ratio,swap_active
0.0,,,,,,,0
10.0,1.0,0.0,13.0,0.5,7.779999999999999,0.5186666666666666,0
