mode,ts,retrieved_tokens,hit,t
native_dram,1772728208.527979,0,0,0.5570788383483887
native_dram,1772728208.540807,0,0,0.5699069499969482
native_dram,1772728209.893853,0,0,1.9229528903961182
native_dram,1772728209.903957,0,0,1.9330568313598633
native_dram,1772728209.913995,0,0,1.9430949687957764
native_dram,1772728209.924053,0,0,1.9531528949737549
native_dram,1772728209.935525,0,0,1.9646248817443848
native_dram,1772728209.944672,0,0,1.9737720489501953
native_dram,1772728209.954776,0,0,1.9838759899139404
native_dram,1772728209.965107,0,0,1.9942069053649902
native_dram,1772728209.975224,0,0,2.004323959350586
native_dram,1772728209.985322,0,0,2.0144219398498535
native_dram,1772728210.172876,0,0,2.2019758224487305
native_dram,1772728210.183173,0,0,2.212272882461548
native_dram,1772728211.367871,0,0,3.3969709873199463
native_dram,1772728211.377897,0,0,3.406996965408325
native_dram,1772728211.388084,0,0,3.4171838760375977
native_dram,1772728211.398546,0,0,3.4276459217071533
native_dram,1772728211.408691,0,0,3.437790870666504
native_dram,1772728211.418958,0,0,3.4480578899383545
native_dram,1772728211.429203,0,0,3.4583029747009277
native_dram,1772728211.439676,0,0,3.468775987625122
native_dram,1772728212.830903,0,0,4.8600029945373535
native_dram,1772728212.84105,0,0,4.870149850845337
native_dram,1772728212.850966,0,0,4.88006591796875
native_dram,1772728212.861487,0,0,4.890586853027344
native_dram,1772728212.871581,0,0,4.900681018829346
native_dram,1772728212.881557,0,0,4.910656929016113
native_dram,1772728212.891816,0,0,4.920915842056274
native_dram,1772728212.901841,0,0,4.930940866470337
native_dram,1772728212.912225,0,0,4.941324949264526
native_dram,1772728212.922329,0,0,4.9514288902282715
native_dram,1772728214.01522,0,0,6.0443198680877686
native_dram,1772728214.025364,0,0,6.054463863372803
native_dram,1772728214.035823,0,0,6.064923048019409
native_dram,1772728214.295803,0,0,6.3249030113220215
native_dram,1772728215.074836,0,0,7.103935956954956
native_dram,1772728220.799006,0,0,12.828105926513672
native_dram,1772728229.71308,0,0,21.74217987060547
native_dram,1772728229.972066,0,0,22.001165866851807
native_dram,1772728230.152483,0,0,22.181582927703857
native_dram,1772728230.343514,0,0,22.37261390686035
native_dram,1772728230.553311,0,0,22.58241105079651
native_dram,1772728231.02191,0,0,23.05100989341736
native_dram,1772728235.245914,0,0,27.27501392364502
native_dram,1772728235.523075,0,0,27.552175045013428
native_dram,1772728235.533747,0,0,27.562846899032593
native_dram,1772728235.900416,0,0,27.929515838623047
native_dram,1772728235.910816,0,0,27.939915895462036
native_dram,1772728235.946127,0,0,27.975226879119873
native_dram,1772728236.184974,0,0,28.21407389640808
native_dram,1772728236.325585,0,0,28.354684829711914
native_dram,1772728236.466261,0,0,28.495360851287842
native_dram,1772728236.619606,0,0,28.64870595932007
native_dram,1772728236.717865,0,0,28.746964931488037
native_dram,1772728236.94664,0,0,28.9757399559021
native_dram,1772728237.110036,0,0,29.13913583755493
native_dram,1772728237.147855,0,0,29.176954984664917
native_dram,1772728237.377507,0,0,29.406606912612915
native_dram,1772728237.498036,0,0,29.527135848999023
native_dram,1772728238.689658,0,0,30.71875786781311
native_dram,1772728238.877354,0,0,30.906453847885132
native_dram,1772728239.032601,0,0,31.06170105934143
native_dram,1772728239.18085,0,0,31.20994997024536
