mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
native_dram,1772728208.0365,1772728219.52681,,,,3.0103,,11.555909872055054,0.06559991836547852
native_dram,1772728207.9709,1772728220.054303,2.0337,1.1877,1.1877,4.1568,,12.083402872085571,0.0
native_dram,1772728208.0892,1772728220.0551555,,,,2.737,,12.084255456924438,0.11829996109008789
native_dram,1772728208.7687,1772728220.089778,0.4964,0.4267,0.4267,0.9411,,12.11887788772583,0.797799825668335
native_dram,1772728208.7754,1772728228.7010145,0.9096,0.4194,0.4194,1.339,,20.730114459991455,0.8044998645782471
native_dram,1772728208.8093,1772728230.8421915,0.3144,0.1458,0.1458,1.0646,,22.871291399002075,0.8383998870849609
native_dram,1772728208.8273,1772728231.194601,0.3254,0.1369,0.1369,0.9515,,23.223701000213623,0.8564000129699707
native_dram,1772728208.833,1772728231.3769038,0.2074,0.1277,0.1277,0.732,,23.406003713607788,0.8620998859405518
native_dram,1772728208.8431,1772728231.7953131,0.216,0.1287,0.1287,0.5956,,23.824413061141968,0.8722000122070312
native_dram,1772728208.0291,1772728231.9577572,3.1243,0.531,0.531,4.2617,,23.986857175827026,0.05819988250732422
native_dram,1772728208.0454,1772728232.1778915,2.8786,0.5264,0.5264,4.0254,,24.20699143409729,0.07449984550476074
native_dram,1772728208.5034,1772728232.267767,3.3301,0.0352,0.0352,3.6557,,24.29686689376831,0.5325000286102295
native_dram,1772728208.3193,1772728232.6524358,1.8364,1.126,1.126,3.7924,,24.681535720825195,0.3483998775482178
native_dram,1772728208.5341,1772728233.0283349,2.9387,0.0351,0.0351,3.2711,,25.057434797286987,0.5631999969482422
native_dram,1772728208.216,1772728233.0285764,1.9073,0.5312,0.5312,3.0481,,25.057676315307617,0.2451000213623047
native_dram,1772728208.6435,1772728233.1045704,2.0869,0.0357,0.0357,2.426,,25.133670330047607,0.6726000308990479
native_dram,1772728208.7247,1772728233.15041,0.5698,0.0345,0.0345,0.879,,25.17950987815857,0.7537999153137207
native_dram,1772728208.2451,1772728233.45823,2.1746,0.2227,0.2227,3.0195,,25.487329959869385,0.2741999626159668
native_dram,1772728208.5278,1772728233.4908862,3.0848,0.0693,0.0693,3.4075,,25.519986152648926,0.5569000244140625
native_dram,1772728208.188,1772728233.7264364,2.0476,0.5287,0.5287,3.1887,,25.755536317825317,0.21709990501403809
native_dram,1772728208.5133,1772728233.7479851,3.206,0.0431,0.0431,3.5424,,25.777085065841675,0.5423998832702637
native_dram,1772728208.6991,1772728233.7622566,1.8221,0.0433,0.0433,2.1518,,25.791356563568115,0.7281999588012695
native_dram,1772728208.5811,1772728233.7943594,,,,2.8201,,25.82345938682556,0.6101999282836914
native_dram,1772728208.4979,1772728234.0432467,2.98,0.5222,0.5222,3.7965,,26.072346687316895,0.5269999504089355
native_dram,1772728208.7046,1772728234.0433872,1.6982,0.039,0.039,2.0245,,26.072487115859985,0.7337000370025635
native_dram,1772728208.3118,1772728234.1272862,1.9797,1.1147,1.1147,3.9128,,26.156386137008667,0.3408999443054199
native_dram,1772728208.4316,1772728234.1769137,,,,3.1025,,26.206013679504395,0.46070003509521484
native_dram,1772728208.1691,1772728234.3258915,2.1943,0.5236,0.5236,3.3306,,26.35499143600464,0.19819998741149902
native_dram,1772728208.0934,1772728234.369853,2.601,0.5235,0.5235,3.746,,26.398952960968018,0.12249994277954102
native_dram,1772728208.8645,1772728234.520317,0.3157,0.0959,0.0959,0.6364,,26.54941701889038,0.8935999870300293
native_dram,1772728208.6287,1772728234.606858,2.5444,0.0424,0.0424,2.8792,,26.635957956314087,0.6577999591827393
native_dram,1772728208.4274,1772728234.68194,2.1106,1.1267,1.1267,4.0271,,26.711040019989014,0.4565000534057617
native_dram,1772728208.6357,1772728234.7442348,,,,2.3796,,26.773334741592407,0.6647999286651611
native_dram,1772728208.4114,1772728234.7588558,1.6005,1.1119,1.1119,3.9222,,26.78795576095581,0.44050002098083496
native_dram,1772728207.9756,1772728234.804163,2.9955,0.5294,0.5294,4.2921,,26.83326292037964,0.0046999454498291016
native_dram,1772728208.7166,1772728234.8522875,1.5707,0.0295,0.0295,1.8717,,26.88138747215271,0.7456998825073242
native_dram,1772728208.3796,1772728234.9766765,1.5658,1.1173,1.1173,3.5007,,27.005776405334473,0.40869998931884766
native_dram,1772728208.1487,1772728234.976831,2.3241,0.5264,0.5264,3.4669,,27.00593090057373,0.17779994010925293
native_dram,1772728208.9739,1772728237.5556834,0.3412,0.334,0.334,2.2047,,29.58478331565857,1.003000020980835
native_dram,1772728208.9948,1772728237.6395411,0.4421,0.2381,0.2381,2.0415,,29.668641090393066,1.023900032043457
native_dram,1772728208.9839,1772728237.726582,0.5919,0.2407,0.2407,2.198,,29.75568199157715,1.0130000114440918
native_dram,1772728209.0491,1772728238.0262203,0.5358,0.1573,0.1573,1.9075,,30.055320262908936,1.078199863433838
native_dram,1772728209.1073,1772728238.1392553,0.4762,0.1369,0.1369,1.4881,,30.168355226516724,1.1363999843597412
native_dram,1772728209.0872,1772728238.1941462,0.4998,0.1352,0.1352,1.5898,,30.223246097564697,1.1162998676300049
native_dram,1772728209.0001,1772728238.2849636,0.6905,0.1612,0.1612,2.0476,,30.314063549041748,1.0291998386383057
native_dram,1772728209.1112,1772728238.3088348,0.4151,0.1378,0.1378,1.3152,,30.337934732437134,1.1403000354766846
native_dram,1772728209.0538,1772728238.3478239,0.5379,0.1587,0.1587,1.7706,,30.37692379951477,1.082900047302246
native_dram,1772728209.1247,1772728238.3479202,0.4143,0.1426,0.1426,1.2213,,30.377020120620728,1.1538000106811523
native_dram,1772728209.2153,1772728238.6139495,0.2089,0.0805,0.0805,0.4958,,30.643049478530884,1.2444000244140625
native_dram,1772728209.2027,1772728238.6651852,0.1967,0.1336,0.1336,0.6983,,30.69428515434265,1.231799840927124
native_dram,1772728209.1444,1772728238.7141304,0.319,0.1367,0.1367,1.0523,,30.74323034286499,1.1734998226165771
native_dram,1772728209.188,1772728238.7194996,0.4013,0.118,0.118,0.9889,,30.748599529266357,1.217099905014038
native_dram,1772728209.1935,1772728238.7296395,0.3364,0.1826,0.1826,1.0435,,30.758739471435547,1.222599983215332
native_dram,1772728209.1313,1772728238.7391677,0.2973,0.1338,0.1338,1.1417,,30.76826763153076,1.1603999137878418
native_dram,1772728209.2763,1772728239.2351909,,,,0.149,,31.264290809631348,1.3053998947143555
native_dram,1772728209.2625,1772728239.4636347,0.4584,0.0807,0.0807,0.9286,,31.492734670639038,1.291599988937378
native_dram,1772728209.2711,1772728239.693567,0.1629,0.0904,0.0904,0.6583,,31.72266697883606,1.3001999855041504
native_dram,1772728209.318,1772728239.7997353,0.1682,0.0904,0.0904,0.5482,,31.828835248947144,1.347100019454956
native_dram,1772728209.3221,1772728239.947805,0.1751,0.072,0.072,0.4807,,31.97690486907959,1.3511998653411865
native_dram,1772728209.3331,1772728240.1399155,0.1479,0.1293,0.1293,0.5109,,32.169015407562256,1.3622000217437744
native_dram,1772728209.3792,1772728240.9360595,0.2214,0.1614,0.1614,0.9674,,32.96515941619873,1.4082999229431152
native_dram,1772728209.3899,1772728241.0012643,0.1657,0.1612,0.1612,0.8357,,33.03036427497864,1.4189999103546143
native_dram,1772728209.3949,1772728241.0892377,0.2511,0.1043,0.1043,0.7693,,33.118337631225586,1.4240000247955322
native_dram,1772728209.4041,1772728241.1638649,0.2211,0.1012,0.1012,0.7182,,33.19296479225159,1.4331998825073242
native_dram,1772728209.4153,1772728241.314804,0.1717,0.1023,0.1023,0.6145,,33.3439040184021,1.4443998336791992
native_dram,1772728209.4556,1772728241.3690732,0.1854,0.0789,0.0789,0.5003,,33.398173093795776,1.4846999645233154
native_dram,1772728209.4592,1772728241.4412186,0.1552,0.0566,0.0566,0.4037,,33.47031855583191,1.48829984664917
native_dram,1772728209.4712,1772728242.2401223,0.1483,0.1367,0.1367,0.7998,,34.269222259521484,1.5002999305725098
native_dram,1772728209.5173,1772728242.481472,0.1583,0.1368,0.1368,0.7964,,34.51057195663452,1.5463998317718506
native_dram,1772728209.5252,1772728242.5162544,0.2291,0.1344,0.1344,0.7052,,34.54535436630249,1.5542998313903809
native_dram,1772728209.5357,1772728242.581245,0.2556,0.0772,0.0772,0.6205,,34.610344886779785,1.5648000240325928
native_dram,1772728209.5416,1772728242.6157494,0.2059,0.0334,0.0334,0.5162,,34.64484930038452,1.57069993019104
native_dram,1772728209.5534,1772728242.664345,0.1082,0.0288,0.0288,0.3814,,34.6934449672699,1.5824999809265137
native_dram,1772728209.5977,1772728242.7880046,0.1187,0.0277,0.0277,0.3053,,34.81710457801819,1.6268000602722168
native_dram,1772728209.6039,1772728243.0635097,,,,0.2283,,35.09260964393616,1.6329998970031738
native_dram,1772728209.6123,1772728243.9537487,0.182,0.1547,0.1547,0.9912,,35.98284864425659,1.64139986038208
native_dram,1772728209.7497,1772728244.323253,,,,0.1856,,36.35235285758972,1.7788000106811523
native_dram,1772728209.6595,1772728244.356412,0.239,0.1555,0.1555,1.1295,,36.38551187515259,1.6885998249053955
native_dram,1772728209.6675,1772728244.5654836,0.2375,0.1551,0.1551,1.0971,,36.59458351135254,1.6965999603271484
native_dram,1772728209.6777,1772728244.5677097,0.2033,0.1577,0.1577,1.0153,,36.59680962562561,1.7067999839782715
native_dram,1772728209.6842,1772728244.6429224,0.1695,0.158,0.158,0.9137,,36.672022342681885,1.7132999897003174
native_dram,1772728209.7358,1772728244.7585998,0.223,0.1615,0.1615,0.8229,,36.787699699401855,1.7648999691009521
native_dram,1772728209.7988,1772728244.8296936,0.2099,0.0455,0.0455,0.4952,,36.85879349708557,1.8278999328613281
native_dram,1772728209.8066,1772728245.017381,0.1626,0.0307,0.0307,0.373,,37.046480894088745,1.8357000350952148
native_dram,1772728209.8146,1772728245.7961228,0.1467,0.1077,0.1077,0.7539,,37.8252227306366,1.8436999320983887
native_dram,1772728209.8231,1772728245.881698,0.1584,0.1078,0.1078,0.6848,,37.91079783439636,1.8522000312805176
native_dram,1772728209.8609,1772728245.959562,0.1629,0.1079,0.1079,0.6498,,37.988662004470825,1.8899998664855957
native_dram,1772728209.8663,1772728246.3079052,0.1887,0.1423,0.1423,0.8374,,38.33700513839722,1.895400047302246
