mode,ts,vram_gb,t
native_dram,1772728207.975696,13.3586,0.004796028137207031
native_dram,1772728208.094486,13.3586,0.12358593940734863
native_dram,1772728208.319875,13.3586,0.34897494316101074
native_dram,1772728208.503492,13.3586,0.5325920581817627
native_dram,1772728208.636262,13.3586,0.6653618812561035
native_dram,1772728208.775513,13.3586,0.8046128749847412
native_dram,1772728208.984061,13.3586,1.0131609439849854
native_dram,1772728209.111334,13.3586,1.1404340267181396
native_dram,1772728209.216112,13.3586,1.2452118396759033
native_dram,1772728209.322685,13.3586,1.3517849445343018
native_dram,1772728209.459345,13.3586,1.4884450435638428
native_dram,1772728209.604029,13.3586,1.6331288814544678
native_dram,1772728209.742105,13.3586,1.771204948425293
native_dram,1772728209.866938,13.3586,1.8960380554199219
native_dram,1772728210.00212,13.3605,2.031219959259033
native_dram,1772728210.226901,13.8879,2.2560009956359863
native_dram,1772728210.372901,13.8879,2.402000904083252
native_dram,1772728210.513405,13.8879,2.5425050258636475
native_dram,1772728210.647127,13.8879,2.676226854324341
native_dram,1772728210.779509,13.8879,2.8086090087890625
native_dram,1772728210.90699,13.8879,2.9360899925231934
native_dram,1772728211.033545,13.8879,3.0626449584960938
native_dram,1772728211.163168,13.8879,3.192267894744873
native_dram,1772728211.423921,13.8879,3.4530210494995117
native_dram,1772728211.570688,13.8879,3.599787950515747
native_dram,1772728211.767933,13.8879,3.7970328330993652
native_dram,1772728211.899936,13.8879,3.9290359020233154
native_dram,1772728212.038238,13.8879,4.067337989807129
native_dram,1772728212.165741,13.8879,4.194840908050537
native_dram,1772728212.277132,13.8879,4.30623197555542
native_dram,1772728212.418643,13.8879,4.447742938995361
native_dram,1772728212.702261,13.8879,4.731360912322998
native_dram,1772728212.972259,13.8879,5.001358985900879
native_dram,1772728213.13478,13.8879,5.163879871368408
native_dram,1772728213.270411,13.8879,5.299510955810547
native_dram,1772728215.097283,13.8879,7.126382827758789
native_dram,1772728229.591841,13.8879,21.620940923690796
native_dram,1772728229.892973,13.8879,21.922072887420654
native_dram,1772728230.356348,13.8879,22.38544797897339
native_dram,1772728235.122425,13.8879,27.151525020599365
native_dram,1772728235.247451,13.8879,27.276551008224487
native_dram,1772728235.363712,13.8879,27.3928120136261
native_dram,1772728235.512975,13.8879,27.54207491874695
native_dram,1772728235.662159,13.8879,27.691258907318115
native_dram,1772728235.806353,13.8879,27.835453033447266
native_dram,1772728235.949563,13.8879,27.978662967681885
native_dram,1772728236.189857,13.8879,28.21895694732666
native_dram,1772728236.361215,13.8879,28.390315055847168
native_dram,1772728236.496784,13.8879,28.52588391304016
native_dram,1772728236.644033,13.8879,28.67313289642334
native_dram,1772728236.785143,13.8879,28.814242839813232
native_dram,1772728236.919457,13.8879,28.948556900024414
native_dram,1772728237.053237,13.8879,29.082336902618408
native_dram,1772728237.19594,13.8879,29.225039958953857
native_dram,1772728237.410037,13.8879,29.43913698196411
native_dram,1772728237.767962,13.8879,29.797061920166016
native_dram,1772728238.801544,13.8879,30.830643892288208
native_dram,1772728238.949163,13.8879,30.978262901306152
native_dram,1772728239.107095,13.8879,31.136194944381714
native_dram,1772728239.293848,13.8879,31.32294797897339
native_dram,1772728239.494779,13.8879,31.523879051208496
native_dram,1772728239.831736,13.8879,31.860836029052734
native_dram,1772728239.989461,13.8879,32.01856088638306
native_dram,1772728240.18332,13.8879,32.21241998672485
native_dram,1772728240.313973,13.8879,32.34307289123535
native_dram,1772728240.448905,13.8879,32.478004932403564
native_dram,1772728240.611955,13.8879,32.64105486869812
native_dram,1772728240.751409,13.8879,32.78050899505615
native_dram,1772728241.173079,13.8879,33.202178955078125
native_dram,1772728241.481448,13.8879,33.51054787635803
native_dram,1772728241.617041,13.8879,33.646141052246094
native_dram,1772728241.757114,13.8879,33.786213874816895
native_dram,1772728241.908308,13.8879,33.93740797042847
native_dram,1772728242.262795,13.8879,34.29189491271973
native_dram,1772728242.737472,13.8879,34.76657199859619
native_dram,1772728242.842414,13.8879,34.87151384353638
native_dram,1772728243.12221,13.8879,35.151309967041016
native_dram,1772728243.361041,13.8879,35.390141010284424
