chunked,sleep,pushint,mb,reqs,duration_s,rps,toks_s,ttft_p50_s,ttft_p99_s,tbt_p50_s,tbt_p99_s,ttlt_p50_s,ttlt_p99_s,wait_mean_s,service_mean_s,goodput_rps,violation_rate,tbt_violation_rate,path
1,0.0001,0.001,20,2113,656.5824568271637,3.2181791914008118,393.47685475551333,0.077,2.619607999999982,0.0619,1.369275,1.0964,61.54374800000003,61.996369285376254,-56.22735892096545,2.852650083054293,0.11358258400378607,0.022716516800757217,./timsort_hol_sleep_0.0001_pushint_0.001_mb20_chunked_1_20260131_074335.csv
1,0.0001,0.001,40,1990,677.6368641853333,2.936676124302081,416.92979666869047,0.13165,40.567165,0.10025,1.927408,1.86795,112.32123099999997,59.58168854271357,-46.99769869346733,2.0645275868837243,0.29698492462311554,0.07386934673366834,./timsort_hol_sleep_0.0001_pushint_0.001_mb40_chunked_1_20260131_030158.csv
1,0.0001,0.001,60,2004,697.6280150413513,2.8725910611276335,384.8985336176385,0.1117,88.3582799999999,0.088,9.015892,1.5845,164.68939200000003,61.8436862774451,-45.24437974051896,2.0541032887205084,0.2849301397205589,0.045409181636726546,./timsort_hol_sleep_0.0001_pushint_0.001_mb60_chunked_1_20260130_221511.csv
1,0.0001,0.001,80,2077,751.0955379009247,2.765294020790698,339.235140062315,0.05845,156.156072,0.0424,0.9083099999999856,0.5146,226.48336799999973,87.46980881078478,-67.20792484352431,2.1848086124783515,0.2099181511795859,0.008666345690900338,./timsort_hol_sleep_0.0001_pushint_0.001_mb80_chunked_1_20260130_172514.csv
1,0.0001,0.001,100,2070,802.4544966220856,2.5795855200682647,358.6022649400405,0.0678,176.34849000000003,0.0467,3.240764,0.52085,252.34363299999998,91.09714125603865,-62.93200342995169,1.9814207617915656,0.23188405797101452,0.026570048309178744,./timsort_hol_sleep_0.0001_pushint_0.001_mb100_chunked_1_20260130_122859.csv
