file,chunked,mb,out_dir,hol_corr
timsort_hol_sleep_0.0001_pushint_0.01_mb80_chunked_0_20260127_183510.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.0001_pushint_0.01_mb80_chunked_0_20260127_183510,0.508259078646083
timsort_hol_sleep_0.0001_pushint_0.01_mb80_chunked_1_20260127_211043.csv,1,80,per_file_plots/chunked_1/timsort_hol_sleep_0.0001_pushint_0.01_mb80_chunked_1_20260127_211043,0.6398466622419118
timsort_hol_sleep_0.001_pushint_0.0001_mb100_chunked_0_20260127_133649.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.0001_mb100_chunked_0_20260127_133649,0.26720448639545286
timsort_hol_sleep_0.001_pushint_0.0001_mb100_chunked_1_20260127_161421.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.0001_mb100_chunked_1_20260127_161421,0.23178877824742455
timsort_hol_sleep_0.001_pushint_0.0001_mb20_chunked_0_20260128_094503.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.0001_mb20_chunked_0_20260128_094503,0.6903190864238121
timsort_hol_sleep_0.001_pushint_0.0001_mb20_chunked_1_20260128_120540.csv,1,20,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.0001_mb20_chunked_1_20260128_120540,0.7880636898634725
timsort_hol_sleep_0.001_pushint_0.0001_mb40_chunked_0_20260128_045925.csv,0,40,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.0001_mb40_chunked_0_20260128_045925,0.5828531472411197
timsort_hol_sleep_0.001_pushint_0.0001_mb40_chunked_1_20260128_072324.csv,1,40,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.0001_mb40_chunked_1_20260128_072324,0.7328587348111193
timsort_hol_sleep_0.001_pushint_0.0001_mb60_chunked_0_20260128_000128.csv,0,60,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.0001_mb60_chunked_0_20260128_000128,0.6795027193775125
timsort_hol_sleep_0.001_pushint_0.0001_mb60_chunked_1_20260128_023053.csv,1,60,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.0001_mb60_chunked_1_20260128_023053,0.12722454244925852
timsort_hol_sleep_0.001_pushint_0.0001_mb80_chunked_0_20260127_185238.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.0001_mb80_chunked_0_20260127_185238,0.18006017846237685
timsort_hol_sleep_0.001_pushint_0.0001_mb80_chunked_1_20260127_212824.csv,1,80,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.0001_mb80_chunked_1_20260127_212824,0.20084007774355156
timsort_hol_sleep_0.001_pushint_0.001_mb100_chunked_0_20260127_135455.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.001_mb100_chunked_0_20260127_135455,0.7451089679836133
timsort_hol_sleep_0.001_pushint_0.001_mb100_chunked_1_20260127_163239.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.001_mb100_chunked_1_20260127_163239,0.37175525384798996
timsort_hol_sleep_0.001_pushint_0.001_mb20_chunked_0_20260128_100038.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.001_mb20_chunked_0_20260128_100038,0.6591161419972286
timsort_hol_sleep_0.001_pushint_0.001_mb20_chunked_1_20260128_122114.csv,1,20,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.001_mb20_chunked_1_20260128_122114,0.7455999069543165
timsort_hol_sleep_0.001_pushint_0.001_mb40_chunked_0_20260128_051547.csv,0,40,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.001_mb40_chunked_0_20260128_051547,0.7682915689706022
timsort_hol_sleep_0.001_pushint_0.001_mb40_chunked_1_20260128_073937.csv,1,40,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.001_mb40_chunked_1_20260128_073937,0.7969822133629626
timsort_hol_sleep_0.001_pushint_0.001_mb60_chunked_0_20260128_001806.csv,0,60,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.001_mb60_chunked_0_20260128_001806,0.13392548459734843
timsort_hol_sleep_0.001_pushint_0.001_mb60_chunked_1_20260128_024800.csv,1,60,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.001_mb60_chunked_1_20260128_024800,0.5942813153120561
timsort_hol_sleep_0.001_pushint_0.001_mb80_chunked_0_20260127_190948.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.001_mb80_chunked_0_20260127_190948,0.7198422776579341
timsort_hol_sleep_0.001_pushint_0.001_mb80_chunked_1_20260127_214527.csv,1,80,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.001_mb80_chunked_1_20260127_214527,0.4228023494987694
timsort_hol_sleep_0.001_pushint_0.01_mb100_chunked_0_20260127_141229.csv,0,100,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.01_mb100_chunked_0_20260127_141229,0.798029410884553
timsort_hol_sleep_0.001_pushint_0.01_mb100_chunked_1_20260127_165109.csv,1,100,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.01_mb100_chunked_1_20260127_165109,0.8077323202894803
timsort_hol_sleep_0.001_pushint_0.01_mb20_chunked_0_20260128_101616.csv,0,20,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.01_mb20_chunked_0_20260128_101616,0.7730109697479558
timsort_hol_sleep_0.001_pushint_0.01_mb20_chunked_1_20260128_123650.csv,1,20,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.01_mb20_chunked_1_20260128_123650,0.7583356579423944
timsort_hol_sleep_0.001_pushint_0.01_mb40_chunked_0_20260128_053201.csv,0,40,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.01_mb40_chunked_0_20260128_053201,
timsort_hol_sleep_0.001_pushint_0.01_mb40_chunked_1_20260128_075540.csv,1,40,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.01_mb40_chunked_1_20260128_075540,0.8804306365457312
timsort_hol_sleep_0.001_pushint_0.01_mb60_chunked_0_20260128_003416.csv,0,60,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.01_mb60_chunked_0_20260128_003416,0.7692813900332918
timsort_hol_sleep_0.001_pushint_0.01_mb60_chunked_1_20260128_030449.csv,1,60,per_file_plots/chunked_1/timsort_hol_sleep_0.001_pushint_0.01_mb60_chunked_1_20260128_030449,0.6005926806518523
timsort_hol_sleep_0.001_pushint_0.01_mb80_chunked_0_20260127_192726.csv,0,80,per_file_plots/chunked_0/timsort_hol_sleep_0.001_pushint_0.01_mb80_chunked_0_20260127_192726,0.46358887991308834
