sleep,pushint,mb,reqs,kv_mean,kv_p50,kv_p95,run_cnt_mean,wait_cnt_mean,swap_cnt_mean,vram_used_mean_gib,vram_used_p95_gib,vram_total_gib,kv_ratio_used_mean,kv_ratio_used_p95,kv_ratio_total_mean,kv_ratio_total_p95,path
0.001,0.001,20,260,0.4999846153846154,0.552,0.707,14.334615384615384,0.011538461538461539,0.0,7.900538461538463,7.95,15.0,0.0628911465892598,0.08893081761006288,0.033332307692307696,0.04713333333333333,./timsort_hol_sleep_0.001_pushint_0.001_mb20_20260126_172828.csv
0.001,0.001,40,263,0.7749733840304182,0.962,0.989,22.6425855513308,5.8783269961977185,0.0,10.00125475285171,10.27,15.0,0.07545992054823937,0.09629990262901655,0.05166489226869454,0.06593333333333333,./timsort_hol_sleep_0.001_pushint_0.001_mb40_20260126_171218.csv
0.001,0.001,60,265,0.8577735849056602,0.971,0.99,25.532075471698114,16.056603773584907,0.0,13.228641509433961,14.44,15.0,0.062043948974257676,0.08347676419965577,0.05718490566037736,0.066,./timsort_hol_sleep_0.001_pushint_0.001_mb60_20260126_165507.csv
0.001,0.001,80,281,0.8553451957295373,0.977,0.993,25.352313167259787,31.594306049822062,0.0,12.365871886120997,13.17,15.0,0.06494648411006358,0.07539863325740319,0.05702301304863583,0.0662,./timsort_hol_sleep_0.001_pushint_0.001_mb80_20260126_163640.csv
0.001,0.001,100,2057,0.19951142440447253,0.003,0.975,12.756927564414195,7.036460865337871,0.058823529411764705,13.002707826932426,13.25,15.0,0.015062009977234631,0.07358490566037736,0.013300761626964834,0.065,./timsort_hol_sleep_0.001_pushint_0.001_mb100_20260126_152321.csv
