chunked,sleep,pushint,mb,reqs,duration_s,rps,toks_s,ttft_p50_s,ttft_p99_s,tbt_p50_s,tbt_p99_s,ttlt_p50_s,ttlt_p99_s,wait_mean_s,service_mean_s,goodput_rps,violation_rate,tbt_violation_rate,path
1,0.01,0.001,20,2629,651.6080076694489,4.03463427253284,391.8137852742818,0.0594,2.044141000000005,0.0454,1.0187839999999997,0.6524,60.51491199999996,43.22042168124763,-39.06923153290225,3.697007973576117,0.08368200836820083,0.010650437428680106,./timsort_hol_sleep_0.01_pushint_0.001_mb20_chunked_1_20260131_091720.csv
1,0.01,0.001,40,2735,688.0138056278229,3.975210929821781,388.3613930627131,0.078,43.613704,0.067,3.0700079999999828,1.1047,113.741414,43.40218032906764,-35.77276387568556,3.201970631955168,0.19451553930530163,0.029250457038391225,./timsort_hol_sleep_0.01_pushint_0.001_mb40_chunked_1_20260131_043853.csv
1,0.01,0.001,60,2600,703.0076758861542,3.69839489550758,407.73808001268435,0.1105,76.27445199999998,0.0875,2.7819400000000005,1.418,151.41198099999994,49.519243653846154,-37.58388319230769,2.6187480779344057,0.29192307692307695,0.055,./timsort_hol_sleep_0.01_pushint_0.001_mb60_chunked_1_20260130_235616.csv
1,0.01,0.001,80,2620,735.3765861988068,3.562800406174057,360.03593936620445,0.0944,100.65591199999997,0.0764,3.4020400000000004,1.2432,172.953377,37.89220381679389,-23.860534885496183,2.6680207621807246,0.251145038167939,0.03778625954198473,./timsort_hol_sleep_0.01_pushint_0.001_mb80_chunked_1_20260130_190802.csv
1,0.01,0.001,100,2434,742.1709156036377,3.279568019746946,396.88027893201405,0.1479,135.29890800000035,0.1038,3.093008,1.71985,190.70165900000006,47.17969387838948,-25.506032621199665,1.9591174612621445,0.4026294165981923,0.09490550534100246,./timsort_hol_sleep_0.01_pushint_0.001_mb100_chunked_1_20260130_141652.csv
