tag,mode,slo_type,slo_name,metric,p50,p90,p95,p99,mean,count
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,0,Interactive request,ttft,0.22855,63.41192000000049,108.84796999999999,114.99731000000001,12.994320226537214,618
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,0,Interactive request,tbt_p99,0.10425000000000001,2.34345,3.6946,8.570165,0.9619461038961037,616
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,0,Interactive request,ttlt,2.2748,73.25058000000048,117.09021,122.09378,16.348018153364634,639
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,0,Interactive request,ttft,0.2619,76.53100000000003,91.17650000000003,122.687158,14.018097185430465,604
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,0,Interactive request,tbt_p99,0.1195,2.7086400000000026,4.13495,9.303628,0.6861440734557597,599
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,0,Interactive request,ttlt,2.6038,81.48066,96.79406,126.550572,16.73620254372019,629
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,1,batch request,ttft,10.3811,111.46371,115.02543999999999,116.620702,28.675705813953492,172
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,1,batch request,tbt_p99,0.60805,0.8472200000000001,0.9975149999999998,2.249888999999999,0.6668709302325581,172
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU-only,1,batch request,ttlt,136.47230000000002,230.03461000000001,232.48369499999998,234.310539,143.82292888888887,180
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,1,batch request,ttft,13.9144,117.21909000000001,120.661935,135.59083900000007,30.294140243902437,164
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,1,batch request,tbt_p99,0.5583499999999999,0.99308,1.00816,2.3899480000000075,0.5860475609756097,164
sleep_0.001_pushint_0.1_mb100_chunked_1,CPU+storage,1,batch request,ttlt,140.38549999999998,237.01933000000002,244.390635,260.60265,153.47384345238095,168
