=== Basic Benchmark Test (PREFIX mode) ===
[LEN] vllm_max_len=16000, tokenizer.model_max_length=131072 -> effective=16000
[LEN] max_prompt_tokens_short=15960, prefix_short_tokens=11 -> max_base_prompt_short=15949
[LEN] max_prompt_tokens_long =14968,  prefix_long_tokens =16  -> max_base_prompt_long =14952
Starting server and wait to load model weights
Server started at localhost:8000 with model meta-llama/Llama-3.2-1B-Instruct
Waiting for vLLM server to start...
Worker e6262d36-e124-4745-9db4-3381508a7522 registered at http://localhost:8000

[Part 2] Loading dataset from: data/ShareGPT_V3_unfiltered_cleaned_split.json
dataset1_candidates(first-pair, base<=short-limit): 58755
dataset2_candidates(first-pair, base<=long-limit)      : 58754
too_long_long(>long base-limit)                         : 12
[dataset1_candidates base tok lens] n=58755 min=1 p50=31 p90=676 p99=2860 max=15769
[dataset2_candidates base tok lens] n=58754 min=1 p50=31 p90=675 p99=2859 max=12323
[DEBUG] wrote 12 rows -> debug/debug_too_long_for_long_top50.jsonl
dataset1 chosen: 500 | base_tok_range ~ 16..16
dataset2 chosen: 500 | base_tok_range ~ 2924..12323
[DEBUG] wrote 50 rows -> debug/debug_dataset1_sample_base.jsonl
[DEBUG] wrote 50 rows -> debug/debug_dataset2_sample_base.jsonl
!!! BENCHMARK START TIME: 1768798185.6930926 !!!
Pushing for 600s (ORDER_MODE=shuffle)
  push_interval_s=10.000000
  dataset1: max_tokens=32, prefix=ON
  dataset2: max_tokens=1024,  prefix=ON
[VQ0] groups=1 head_deadline=1768798219.700 slack=34.000 model=meta-llama/Llama-3.2-1B-Instruct
  deadlines: 1768798219.700
[DEBUG] OrigSLO: 34.00 | Insertion Time: 1768798185.7002 | Wait Time: 0.0429 | prompt_tok= 3840 out_tok= 829 total_tok= 4669 | TTFT: 0.4406 | Execution Time: 2.5070 | Diff: -31.4502 | Violation: 0.0000 | TotalViolation: 0.0000 | Finished Time: 1768798190.6526136 | SuccessRate: 100.00% (1/1)
[VQ0] groups=1 head_deadline=1768798265.769 slack=70.000 model=meta-llama/Llama-3.2-1B-Instruct
  deadlines: 1768798265.769
[DEBUG] OrigSLO: 70.00 | Insertion Time: 1768798195.7690 | Wait Time: 0.0478 | prompt_tok= 3405 out_tok= 1024 total_tok= 4429 | TTFT: 0.0985 | Execution Time: 2.6893 | Diff: -67.2629 | Violation: 0.0000 | TotalViolation: 0.0000 | Finished Time: 1768798198.5301688 | SuccessRate: 100.00% (2/2)
[DEBUG] OrigSLO: 40.00 | Insertion Time: 1768798205.7705 | Wait Time: 0.0722 | prompt_tok= 27 out_tok= 32 total_tok= 59 | TTFT: 0.0298 | Execution Time: 0.1365 | Diff: -39.7912 | Violation: 0.0000 | TotalViolation: 0.0000 | Finished Time: 1768798205.980036 | SuccessRate: 100.00% (3/3)
[DEBUG] OrigSLO: 158.00 | Insertion Time: 1768798215.8074 | Wait Time: 0.0975 | prompt_tok= 27 out_tok= 32 total_tok= 59 | TTFT: 0.0271 | Execution Time: 0.1348 | Diff: -157.7677 | Violation: 0.0000 | TotalViolation: 0.0000 | Finished Time: 1768798216.040452 | SuccessRate: 100.00% (4/4)
[DEBUG] OrigSLO: 129.00 | Insertion Time: 1768798225.8935 | Wait Time: 0.0532 | prompt_tok= 3087 out_tok= 1024 total_tok= 4111 | TTFT: 0.0830 | Execution Time: 2.6152 | Diff: -126.3316 | Violation: 0.0000 | TotalViolation: 0.0000 | Finished Time: 1768798228.593386 | SuccessRate: 100.00% (5/5)
[DEBUG] OrigSLO: 102.00 | Insertion Time: 1768798235.9339 | Wait Time: 0.0490 | prompt_tok= 4513 out_tok= 1024 total_tok= 5537 | TTFT: 0.0845 | Execution Time: 2.6303 | Diff: -99.3208 | Violation: 0.0000 | TotalViolation: 0.0000 | Finished Time: 1768798238.6431227 | SuccessRate: 100.00% (6/6)
[DEBUG] OrigSLO: 30.00 | Insertion Time: 1768798245.9643 | Wait Time: 0.0979 | prompt_tok= 27 out_tok= 32 total_tok= 59 | TTFT: 0.0289 | Execution Time: 0.1372 | Diff: -29.7648 | Violation: 0.0000 | TotalViolation: 0.0000 | Finished Time: 1768798246.200404 | SuccessRate: 100.00% (7/7)
[DEBUG] OrigSLO: 121.00 | Insertion Time: 1768798255.9659 | Wait Time: 0.0485 | prompt_tok= 27 out_tok= 15 total_tok= 42 | TTFT: 0.0229 | Execution Time: 0.0840 | Diff: -120.8675 | Violation: 0.0000 | TotalViolation: 0.0000 | Finished Time: 1768798256.099132 | SuccessRate: 100.00% (8/8)
[DEBUG] OrigSLO: 133.00 | Insertion Time: 1768798265.9674 | Wait Time: 0.0877 | prompt_tok= 27 out_tok= 32 total_tok= 59 | TTFT: 0.0246 | Execution Time: 0.1326 | Diff: -132.7797 | Violation: 0.0000 | TotalViolation: 0.0000 | Finished Time: 1768798266.1886294 | SuccessRate: 100.00% (9/9)
