orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,execution_time,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib
65.0,1,1769134442.3678,659.2578,3130,1029,4159,0.4232,0.0355,0.3192,,29.1335,623.3913,623.3913,156996.0984,1769135130.7819402,3.36,18,536,0.127,9,0,0,14.2,15.0
55.0,1,1769134452.5566,651.0938,3653,1026,4679,0.4813,0.0361,0.3195,,29.1076,625.2014,625.2014,157621.2999,1769135132.7772386,3.35,18,537,0.125,8,0,0,14.2,15.0
86.0,0,1769134423.0449,709.8355,27,0,27,,,,,0.0635,623.8991,623.8991,158245.1989,1769135132.9447148,3.35,18,538,0.119,9,0,0,14.2,15.0
31.0,0,1769134478.1542,654.9044,27,32,59,0.067,0.0324,0.0403,,0.7435,623.9715,623.9715,158869.1704,1769135133.803104,3.34,18,539,0.119,9,0,0,14.2,15.0
46.0,1,1769134461.853,644.4821,5186,1033,6219,0.7035,0.0353,0.32,,29.1235,627.6056,627.6056,159496.776,1769135135.4804163,3.33,18,540,0.12,9,0,0,14.2,15.0
86.0,1,1769134421.9216,686.7478,3025,1027,4052,0.4048,0.0329,0.359,,29.2348,629.9825,629.9825,160126.7586,1769135137.919661,3.33,18,541,0.11,7,0,0,14.2,15.0
47.0,0,1769134462.3451,675.7159,27,32,59,0.0706,0.0278,0.0286,,0.757,628.7865,628.7865,160755.5451,1769135138.8191047,3.32,18,542,0.124,9,0,0,14.2,15.0
90.0,1,1769134418.0541,693.0505,3195,1010,4205,0.4211,0.0335,0.3206,,29.0983,632.1488,632.1488,161387.6939,1769135140.2231932,3.31,18,543,0.14,9,0,0,14.2,15.0
74.0,1,1769134434.1003,679.5523,3059,1033,4092,0.3933,0.0341,0.3137,,29.1474,634.6997,634.6997,162022.3935,1769135142.8192503,3.31,18,544,0.14,9,0,0,14.2,15.0
89.0,1,1769134419.1969,704.303,3032,1029,4061,0.3738,0.0341,0.3259,,29.041,644.3441,644.3441,162666.7376,1769135152.557278,3.3,18,545,0.143,9,0,0,14.2,15.0
12.0,0,1769134497.6849,655.0002,27,32,59,0.0729,0.0287,0.0299,,0.8102,643.0731,643.0731,163309.8107,1769135153.496304,3.3,18,546,0.144,9,0,0,14.2,15.0
75.0,1,1769134433.2706,692.2857,4612,1024,5636,0.6445,0.0327,0.3157,,29.1537,646.4394,646.4394,163956.2501,1769135154.7329764,3.29,18,547,0.111,8,0,0,14.2,15.0
55.0,0,1769134454.8618,700.1381,27,32,59,0.0642,0.0321,0.0333,,0.7815,645.2023,645.2023,164601.4524,1769135155.78502,3.28,18,548,0.139,9,0,0,14.2,15.0
21.0,1,1769134487.9449,640.3447,3170,1026,4196,0.4151,0.0333,0.319,,29.06,648.4047,648.4047,165249.8571,1769135157.4255304,3.28,18,549,0.129,9,0,0,14.2,15.0
18.0,1,1769134490.9974,638.6457,4303,1024,5327,0.553,0.0337,0.3161,,29.1919,649.8377,649.8377,165899.6948,1769135158.854926,3.27,18,550,0.12,9,0,0,14.2,15.0
11.0,1,1769134498.032,632.8978,3290,1025,4315,0.4274,0.0341,0.3283,,29.1855,651.0834,651.0834,166550.7781,1769135160.138866,3.27,18,551,0.121,9,0,0,14.2,15.0
17.0,0,1769134493.1211,667.1648,27,32,59,0.0655,0.034,0.0355,,0.7911,650.2303,650.2303,167201.0084,1769135161.078507,3.26,18,552,0.136,9,0,0,14.2,15.0
87.0,0,1769134423.1269,738.2408,27,32,59,0.0688,0.0309,0.0358,,0.8119,651.3096,651.3096,167852.318,1769135162.1812093,3.25,18,553,0.137,9,0,0,14.2,15.0
63.0,0,1769134447.1332,715.2872,27,32,59,0.0657,0.0358,0.0365,,0.7877,652.3529,652.3529,168504.6709,1769135163.5174005,3.25,18,554,0.138,9,0,0,14.2,15.0
43.0,1,1769134466.2008,668.1135,4030,1034,5064,0.5456,0.0334,0.3195,,29.2107,654.3241,654.3241,169158.995,1769135163.5701542,3.24,18,555,0.121,9,0,0,14.2,15.0
59.0,1,1769134450.303,685.3159,5971,1025,6996,0.8335,0.0332,0.2958,,28.4807,654.7966,654.7966,169813.7916,1769135164.1196961,3.24,18,556,0.115,9,0,0,14.2,15.0
80.0,0,1769134430.162,733.6751,27,20,47,0.0611,0.054,0.054,,0.5176,653.7362,653.7362,170467.5279,1769135164.3562376,3.23,18,557,0.124,8,0,0,14.2,15.0
63.0,0,1769134447.4286,716.5707,27,32,59,0.0613,0.0568,0.7623,,1.5314,653.632,653.632,171121.1599,1769135165.5316408,3.23,18,558,0.124,9,0,0,14.2,15.0
36.0,0,1769134474.6699,689.6785,27,32,59,0.053,0.4898,0.7646,,2.0082,653.7316,653.7316,171774.8914,1769135166.3605394,3.22,18,559,0.102,9,0,0,14.2,15.0
24.0,1,1769134485.4292,653.506,6606,1023,7629,1.1048,0.0341,0.3172,,29.4257,658.9317,658.9317,172433.8231,1769135168.3881743,3.21,18,560,0.125,9,0,0,14.2,15.0
29.0,1,1769134480.6062,659.7214,3669,1028,4697,0.4504,0.034,0.3142,,28.928,659.6495,659.6495,173093.4726,1769135169.2724907,3.21,18,561,0.133,9,0,0,14.2,15.0
76.0,0,1769134434.9807,734.5333,27,32,59,0.0619,0.0296,0.0344,,0.7491,658.5952,658.5952,173752.0678,1769135170.2641046,3.2,18,562,0.122,9,0,0,14.2,15.0
29.0,1,1769134480.6601,662.3628,2999,1024,4023,0.3638,0.0335,0.3114,,28.8041,662.1669,662.1669,174414.2346,1769135171.8414686,3.2,18,563,0.135,9,0,0,14.2,15.0
44.0,0,1769134467.1689,704.8537,27,32,59,0.0552,0.0266,0.0375,,0.7389,660.9089,660.9089,175075.1435,1769135172.7637873,3.19,18,564,0.123,9,0,0,14.2,15.0
32.0,0,1769134479.2231,693.7235,27,32,59,0.0677,0.028,0.0285,,0.751,661.7911,661.7911,175736.9346,1769135173.6996522,3.19,18,565,0.124,9,0,0,14.2,15.0
26.0,0,1769134485.3038,688.5382,27,32,59,0.062,0.0302,0.0333,,0.7473,662.6002,662.6002,176399.5349,1769135174.5902853,3.18,18,566,0.125,9,0,0,14.2,15.0
84.0,0,1769134427.3342,747.3733,27,32,59,0.3822,0.0266,0.057,,0.7589,663.7555,663.7555,177063.2904,1769135175.4672816,3.17,18,567,0.126,9,0,0,14.2,15.0
81.0,0,1769134430.3773,745.2215,27,31,58,0.0504,0.036,0.042,,0.7475,664.2719,664.2719,177727.5623,1769135176.3472235,3.17,18,568,0.127,9,0,0,14.2,15.0
64.0,0,1769134447.4837,728.9732,27,33,60,0.056,0.0324,0.0337,,0.7519,665.0292,665.0292,178392.5915,1769135177.2096694,3.16,18,569,0.128,9,0,0,14.2,15.0
80.0,1,1769134429.719,723.9716,3455,1024,4479,0.4519,0.0362,0.3279,,28.6807,672.6523,672.6523,179065.2438,1769135182.3908958,3.16,18,570,0.145,9,0,0,14.2,15.0
73.0,0,1769134438.6581,743.8627,27,32,59,0.0646,0.0316,0.0376,,0.7715,670.9273,670.9273,179736.171,1769135183.2932875,3.15,18,571,0.134,9,0,0,14.2,15.0
65.0,0,1769134446.6984,736.7075,27,32,59,0.0544,0.0318,0.0319,,0.766,671.7619,671.7619,180407.9329,1769135184.1730332,3.15,18,572,0.135,9,0,0,14.2,15.0
16.0,1,1769134493.9141,662.1158,3159,1030,4189,0.4165,0.0353,0.3083,,28.2663,674.3822,674.3822,181082.3151,1769135184.3112042,3.14,18,573,0.141,9,0,0,14.2,15.0
13.0,0,1769134498.7382,685.55,27,32,59,0.0711,0.0305,0.0554,,0.7849,672.6211,672.6211,181754.9362,1769135185.0740566,3.14,18,574,0.136,9,0,0,14.2,15.0
31.0,0,1769134480.815,704.3798,27,0,27,,,,,0.0633,673.4431,673.4431,183101.1263,1769135185.2661223,3.12,18,576,0.124,9,0,0,14.2,15.0
37.0,0,1769134474.8118,709.6639,27,32,59,0.083,0.0343,0.0517,,0.7811,672.7469,672.7469,183101.1263,1769135185.276498,3.13,18,576,0.123,9,0,0,14.2,15.0
23.0,1,1769134487.0432,670.6433,3987,1025,5012,0.5372,0.0334,0.0681,,27.8672,675.5105,675.5105,183776.6368,1769135185.566188,3.12,18,577,0.139,9,0,0,14.2,15.0
58.0,1,1769134452.103,707.0162,4032,1033,5065,0.5309,0.0352,0.0653,,28.9057,677.9218,677.9218,184454.5586,1769135188.0440934,3.11,18,578,0.136,9,0,0,14.2,15.0
26.0,1,1769134484.9348,683.5918,3648,907,4555,0.6652,0.0332,0.0668,,24.6484,682.2402,682.2402,185136.7988,1769135193.1925337,3.11,18,579,0.125,9,0,0,14.2,15.0
74.0,1,1769134436.7635,727.77,5971,1028,6999,0.8294,0.0338,0.3187,,29.9901,683.7601,683.7601,185820.5589,1769135194.5474072,3.1,18,580,0.102,9,0,0,14.2,15.0
18.0,1,1769134492.8131,672.9222,4077,1025,5102,0.5251,0.0328,0.0677,,29.2432,684.1654,684.1654,186504.7243,1769135194.9956737,3.1,18,581,0.122,9,0,0,14.2,15.0
46.0,1,1769134464.9303,701.5768,3766,1030,4796,0.4589,0.034,0.0714,,28.729,684.3059,684.3059,187189.0301,1769135195.2469814,3.09,18,582,0.135,9,0,0,14.2,15.0
70.0,0,1769134442.5298,752.1695,27,22,49,0.0633,0.0307,0.0341,,0.5894,682.2327,682.2327,187871.2629,1769135195.289429,3.09,18,583,0.139,9,0,0,14.2,15.0
61.0,0,1769134451.6075,743.6168,27,32,59,0.0639,0.0496,0.0523,,0.783,682.6807,682.6807,188553.9436,1769135196.0094774,3.08,18,584,0.123,9,0,0,14.2,15.0
94.0,0,1769134418.6741,776.7287,27,32,59,0.06,0.0317,0.0447,,0.7462,682.7887,682.7887,189236.7323,1769135196.1499848,3.08,18,585,0.108,8,0,0,14.2,15.0
46.0,0,1769134466.6872,728.9034,27,32,59,0.0531,0.0592,0.7882,,1.5127,682.9565,682.9565,189919.6888,1769135197.1062918,3.07,18,586,0.108,9,0,0,14.2,15.0
12.0,1,1769134499.1424,671.2146,3210,1031,4241,0.409,0.034,0.0807,,29.1053,688.3199,688.3199,190608.0087,1769135199.485349,3.07,18,587,0.123,9,0,0,14.2,15.0
54.0,1,1769134458.7464,737.4155,3579,293,3872,0.4819,0.0322,0.3875,,8.593,692.0085,692.0085,191300.0172,1769135204.7734585,3.06,18,588,0.109,8,0,0,14.2,15.0
16.0,0,1769134497.1874,708.1128,27,26,53,0.0623,0.0285,0.038,,0.6648,692.175,692.175,191992.1922,1769135205.965917,3.06,18,589,0.139,9,0,0,14.2,15.0
53.0,1,1769134458.5239,718.8503,4014,1025,5039,0.5183,0.0332,0.3055,,29.725,695.5753,695.5753,192687.7675,1769135207.120769,3.05,18,590,0.129,9,0,0,14.2,15.0
12.0,0,1769134501.423,705.8479,27,32,59,0.073,0.0315,0.0328,,0.7882,693.9209,693.9209,193381.6884,1769135208.0674403,3.05,18,591,0.135,9,0,0,14.2,15.0
32.0,1,1769134480.1605,705.6855,3686,1030,4716,1.3939,0.032,0.3169,,29.3945,703.0801,703.0801,195491.137,1769135215.259127,3.04,18,594,0.124,8,0,0,14.2,15.0
24.0,1,1769134488.1043,697.5996,3669,1031,4700,1.5048,0.0338,0.3086,,29.5421,703.1417,703.1417,195491.137,1769135215.2648432,3.03,18,594,0.124,8,0,0,14.2,15.0
53.0,1,1769134459.0175,726.537,5069,1024,6093,0.7239,0.0328,0.3129,,29.6899,703.2268,703.2268,195491.137,1769135215.2651677,3.04,18,594,0.124,8,0,0,14.2,15.0
62.0,1,1769134450.2594,737.9458,4613,1025,5638,0.618,0.0337,0.3082,,29.2591,705.2049,705.2049,196196.3419,1769135217.4823806,3.03,18,595,0.133,9,0,0,14.2,15.0
90.0,0,1769134423.6661,794.06,27,32,59,0.0623,0.0295,0.0317,,0.7428,704.1222,704.1222,196900.4641,1769135218.470383,3.02,18,596,0.12,9,0,0,14.2,15.0
42.0,0,1769134471.722,746.869,27,32,59,0.0615,0.0275,0.0385,,0.7471,704.9305,704.9305,197605.3946,1769135219.3395717,3.02,18,597,0.121,9,0,0,14.2,15.0
76.0,1,1769134436.3574,757.0271,6606,1029,7635,0.9518,0.033,0.3066,,29.202,710.2291,710.2291,198315.6238,1769135222.6137838,3.01,18,598,0.14,9,0,0,14.2,15.0
58.0,0,1769134456.0768,767.1614,27,32,59,0.0633,0.0305,0.0319,,0.7378,709.2247,709.2247,199024.8485,1769135223.9769306,3.01,18,599,0.119,9,0,0,14.2,15.0
32.0,1,1769134480.7723,715.5484,3514,1027,4541,0.682,0.0322,0.309,,28.379,711.9274,711.9274,199736.7759,1769135224.7214546,3.0,18,600,0.12,9,0,0,14.2,15.0
61.0,1,1769134451.7955,745.459,3581,1022,4603,0.4501,0.0331,0.3076,,27.7275,712.1865,712.1865,200448.9624,1769135225.0013387,3.0,18,601,0.132,9,0,0,14.2,15.0
70.0,0,1769134444.2826,780.8309,27,32,59,1.1103,0.0275,0.0377,,1.8297,711.9411,711.9411,201160.9035,1769135226.9465368,2.99,18,602,0.128,9,0,0,14.2,15.0
14.0,0,1769134500.2946,726.8937,27,32,59,0.0659,0.029,0.0301,,0.7632,712.9596,712.9596,201873.8631,1769135227.9525735,2.99,18,603,0.129,9,0,0,14.2,15.0
33.0,1,1769134479.9305,719.7553,3686,1029,4715,0.4616,0.033,0.0727,,28.5054,715.2606,715.2606,202589.1238,1769135228.2134817,2.98,18,604,0.132,9,0,0,14.2,15.0
32.0,0,1769134482.6686,745.412,27,32,59,0.0796,0.0524,0.3565,,1.1205,713.4916,713.4916,203302.6153,1769135229.2021759,2.98,18,605,0.13,9,0,0,14.2,15.0
39.0,0,1769134475.7958,753.6143,27,32,59,0.0878,0.0302,0.032,,0.7808,714.7021,714.7021,204017.3174,1769135230.192069,2.97,18,606,0.126,9,0,0,14.2,15.0
61.0,0,1769134453.8851,776.5637,27,32,59,0.0796,0.03,0.0334,,0.7708,715.6433,715.6433,204732.9607,1769135231.2243128,2.97,18,607,0.128,9,0,0,14.2,15.0
35.0,1,1769134478.3951,727.7399,3172,1030,4202,0.4078,0.0342,0.0776,,28.6426,721.3825,721.3825,205454.3432,1769135234.7998652,2.96,18,608,0.14,9,0,0,14.2,15.0
37.0,1,1769134476.4557,731.8716,3044,1028,4072,0.3765,0.0335,0.3089,,28.8255,723.6971,723.6971,206178.0403,1769135237.1684785,2.96,18,609,0.136,9,0,0,14.2,15.0
26.0,1,1769134488.0391,731.4259,5398,716,6114,0.7226,0.0346,0.3011,,20.7479,726.1738,726.1738,206904.2141,1769135240.2368684,2.95,18,610,0.122,9,0,0,14.2,15.0
78.0,0,1769134437.0432,803.4689,27,32,59,0.0689,0.048,0.3538,,0.7776,725.5377,725.5377,207629.7518,1769135241.2915914,2.95,18,611,0.134,9,0,0,14.2,15.0
91.0,1,1769134422.5495,792.916,3195,930,4125,0.4444,0.0352,0.349,,26.6459,728.5619,728.5619,208358.3137,1769135242.1345723,2.94,18,612,0.105,7,0,0,14.2,15.0
39.0,0,1769134476.1548,765.3586,27,32,59,0.0776,0.029,0.0375,,0.7723,726.4362,726.4362,209084.75,1769135242.2894595,2.94,18,613,0.136,9,0,0,14.2,15.0
88.0,0,1769134427.3231,815.2351,27,32,59,0.4203,0.0292,0.0381,,1.1252,727.6554,727.6554,209812.4054,1769135243.6890244,2.93,18,614,0.136,9,0,0,14.2,15.0
12.0,1,1769134503.4208,740.5259,3032,0,3032,,,,,0.3915,728.9174,728.9174,210541.3228,1769135244.3506315,2.93,18,615,0.138,9,0,0,14.2,15.0
28.0,1,1769134486.281,738.6748,8164,672,8836,1.2553,0.0352,0.3502,,19.6304,730.3052,730.3052,211271.628,1769135244.6095634,2.92,18,616,0.117,9,0,0,14.2,15.0
21.0,1,1769134492.6417,723.122,3556,1029,4585,0.8704,0.0374,0.3163,,29.4706,731.5925,731.5925,212734.8527,1769135245.2620924,2.92,18,618,0.115,8,0,0,14.2,15.0
19.0,1,1769134494.6034,721.0145,2980,1030,4010,1.015,0.0358,0.3267,,29.6177,731.6322,731.6322,212734.8527,1769135245.2728016,2.91,18,618,0.115,8,0,0,14.2,15.0
68.0,0,1769134447.4393,797.1722,27,32,59,0.0587,0.0368,0.0556,,0.7318,729.2309,729.2309,213464.0836,1769135245.3447483,2.91,18,619,0.11,8,0,0,14.2,15.0
32.0,0,1769134483.4747,761.3223,27,31,58,0.053,0.0294,0.0322,,0.6848,729.3753,729.3753,214193.4589,1769135245.4830456,2.9,18,620,0.11,9,0,0,14.2,15.0
62.0,0,1769134453.698,791.9459,27,32,59,0.3693,0.0549,0.3038,,1.315,730.3153,730.3153,216383.8961,1769135246.9738207,2.89,18,623,0.095,7,0,0,14.2,15.0
62.0,0,1769134453.9567,791.983,27,32,59,0.0757,0.0437,0.3281,,1.0078,730.0587,730.0587,216383.8961,1769135246.9814951,2.89,18,623,0.095,7,0,0,14.2,15.0
26.0,0,1769134489.9491,755.8359,27,32,59,0.2273,0.0401,0.3253,,1.1606,730.0632,730.0632,216383.8961,1769135246.9994006,2.9,18,623,0.095,7,0,0,14.2,15.0
86.0,0,1769134430.0883,817.3128,27,0,27,,,,,0.2714,731.5842,731.5842,217115.4803,1769135247.6738021,2.88,18,624,0.106,8,0,0,14.2,15.0
32.0,0,1769134484.238,763.6671,27,0,27,,,,,0.0571,731.7242,731.7242,217847.2045,1769135247.9629257,2.88,18,625,0.106,9,0,0,14.2,15.0
35.0,0,1769134481.16,766.3921,27,32,59,0.1213,0.0526,0.0538,,0.8515,731.5133,731.5133,218578.7179,1769135248.4064686,2.88,18,626,0.106,8,0,0,14.2,15.0
98.0,0,1769134418.3151,829.7942,27,32,59,0.0535,0.0379,0.0502,,0.7327,731.8477,731.8477,219310.5655,1769135248.843013,2.87,18,627,0.107,9,0,0,14.2,15.0
49.0,0,1769134467.4456,781.217,27,31,58,0.05,0.0648,1.2071,,1.9519,732.2669,732.2669,220042.8324,1769135250.6205733,2.87,18,628,0.107,9,0,0,14.2,15.0
97.0,0,1769134419.4734,831.3859,27,32,59,0.0615,0.0347,0.0367,,0.7701,734.4475,734.4475,220777.2799,1769135251.6309352,2.86,18,629,0.136,9,0,0,14.2,15.0
41.0,0,1769134475.5031,776.2561,27,32,59,0.0903,0.0329,0.3225,,0.8193,735.3464,735.3464,221512.6263,1769135252.587184,2.86,18,630,0.137,9,0,0,14.2,15.0
85.0,0,1769134431.5647,821.2532,27,32,59,0.0638,0.0343,0.0384,,0.7949,736.3169,736.3169,222248.9433,1769135253.6136665,2.85,18,631,0.138,9,0,0,14.2,15.0
82.0,1,1769134432.2603,791.8978,3170,1025,4195,0.4168,0.0394,0.3548,,29.905,739.8029,739.8029,222988.7461,1769135254.0836718,2.85,18,632,0.12,9,0,0,14.2,15.0
37.0,0,1769134479.7467,774.1122,27,32,59,0.068,0.0405,0.0419,,0.7948,737.1802,737.1802,223725.9263,1769135254.6557574,2.84,18,633,0.139,9,0,0,14.2,15.0
24.0,0,1769134492.7782,761.4365,27,32,59,0.0757,0.0432,0.0461,,0.7984,737.5122,737.5122,224463.4385,1769135255.0139842,2.84,18,634,0.127,9,0,0,14.2,15.0
63.0,0,1769134453.7859,801.0896,27,32,59,0.0853,0.0401,0.0425,,0.8045,738.175,738.175,225201.6135,1769135255.6829045,2.83,18,635,0.127,9,0,0,14.2,15.0
38.0,0,1769134478.9206,776.2862,27,32,59,0.0639,0.033,0.0475,,0.7895,738.3502,738.3502,225939.9636,1769135256.005198,2.83,18,636,0.128,9,0,0,14.2,15.0
60.0,0,1769134456.9653,799.2419,27,32,59,0.15,0.0294,0.0381,,0.8668,739.3919,739.3919,226679.3555,1769135257.0748844,2.83,18,637,0.138,9,0,0,14.2,15.0
14.0,1,1769134500.7873,727.6368,3099,1022,4121,0.4119,0.0382,0.3246,,28.7689,742.4057,742.4057,227421.7613,1769135257.209697,2.82,18,638,0.116,9,0,0,14.2,15.0
42.0,0,1769134475.2103,782.0127,27,32,59,0.0837,0.0583,0.3476,,1.1512,740.0964,740.0964,228161.8576,1769135258.3751614,2.82,18,639,0.126,8,0,0,14.2,15.0
16.0,0,1769134501.2663,757.6409,27,31,58,0.0898,0.0313,0.0385,,0.7988,741.7307,741.7307,228903.5883,1769135259.717299,2.81,18,640,0.138,9,0,0,14.2,15.0
35.0,1,1769134480.0052,751.4634,3610,1027,4637,0.4628,0.0403,0.3506,,29.2867,745.7501,745.7501,229649.3384,1769135260.773743,2.81,18,641,0.129,9,0,0,14.2,15.0
74.0,0,1769134443.3986,817.5568,27,32,59,0.0752,0.0339,0.0378,,0.7833,743.632,743.632,230392.9704,1769135261.7406802,2.8,18,642,0.137,9,0,0,14.2,15.0
68.0,1,1769134447.0108,788.3508,4795,1024,5819,0.6203,0.0416,0.3397,,29.7373,750.0881,750.0881,231143.0585,1769135265.1412628,2.8,18,643,0.132,9,0,0,14.2,15.0
64.0,0,1769134453.5506,811.8606,27,32,59,0.0714,0.0327,0.035,,0.794,747.932,747.932,231890.9906,1769135266.2153742,2.8,18,644,0.137,9,0,0,14.2,15.0
83.0,1,1769134432.0198,805.3493,4513,1024,5537,0.6143,0.0406,0.3332,,28.8667,751.216,751.216,232642.2066,1769135266.2540448,2.79,18,645,0.136,9,0,0,14.2,15.0
63.0,0,1769134454.5797,811.877,27,32,59,0.0637,0.0516,0.4206,,1.1926,748.9407,748.9407,233391.1473,1769135267.650379,2.79,18,646,0.12,8,0,0,14.2,15.0
35.0,0,1769134482.9597,784.812,27,32,59,0.0613,0.0327,0.0355,,0.7727,749.8733,749.8733,234141.0206,1769135268.5565095,2.78,18,647,0.133,9,0,0,14.2,15.0
35.0,1,1769134480.3134,762.0917,4000,1034,5034,0.5559,0.0418,0.3484,,29.079,756.1707,756.1707,234897.1914,1769135271.5037436,2.78,18,648,0.123,8,0,0,14.2,15.0
59.0,1,1769134456.6441,788.8659,3574,1026,4600,0.4686,0.0419,0.3212,,28.949,758.8149,758.8149,235656.0062,1769135274.4809544,2.77,18,649,0.083,6,0,0,14.2,15.0
68.0,1,1769134448.0822,799.163,3102,1025,4127,0.4234,0.0409,0.3229,,29.1235,760.2865,760.2865,236416.2928,1769135276.3815918,2.77,18,650,0.096,7,0,0,14.2,15.0
54.0,0,1769134464.1461,812.8549,27,32,59,0.0821,0.0277,0.0318,,0.7935,758.937,758.937,237175.2298,1769135277.795924,2.76,18,651,0.137,9,0,0,14.2,15.0
51.0,1,1769134465.4669,783.5646,8574,1033,9607,1.2767,0.0397,0.309,,28.8161,761.3806,761.3806,237936.6104,1769135277.8789895,2.76,18,652,0.108,9,0,0,14.2,15.0
77.0,0,1769134441.421,836.6153,27,32,59,0.049,0.0639,0.3856,,1.1383,759.6643,759.6643,238696.2747,1769135279.1757104,2.76,18,653,0.108,8,0,0,14.2,15.0
78.0,1,1769134438.9459,816.9581,3159,1029,4188,0.4392,0.0373,0.3154,,28.1568,767.1148,767.1148,239463.3895,1769135284.076034,2.75,18,654,0.128,9,0,0,14.2,15.0
61.0,0,1769134457.5533,826.7633,27,32,59,0.0606,0.0275,0.031,,0.7518,765.8239,765.8239,240229.2134,1769135285.0697572,2.75,18,655,0.124,9,0,0,14.2,15.0
16.0,1,1769134501.2449,756.1551,3128,1024,4152,0.416,0.033,0.3163,,27.7392,767.8944,767.8944,240997.1078,1769135285.1587222,2.74,18,656,0.127,9,0,0,14.2,15.0
46.0,0,1769134472.5867,812.7558,27,32,59,0.3146,0.0277,0.0321,,1.0035,767.0704,767.0704,241764.1781,1769135286.347335,2.74,18,657,0.122,9,0,0,14.2,15.0
36.0,0,1769134482.5948,803.938,27,32,59,0.0626,0.0299,0.0308,,0.745,768.0006,768.0006,242532.1787,1769135287.2811599,2.74,18,658,0.124,9,0,0,14.2,15.0
66.0,1,1769134451.2787,808.6927,3789,1032,4821,0.4771,0.0344,0.3454,,28.0554,770.7481,770.7481,243302.9268,1769135288.0488083,2.73,18,659,0.139,9,0,0,14.2,15.0
72.0,1,1769134445.448,816.5291,4067,1022,5089,0.5489,0.0349,0.35,,27.9582,772.4872,772.4872,244075.4141,1769135289.9558437,2.73,18,660,0.139,9,0,0,14.2,15.0
56.0,0,1769134462.8202,827.3685,27,32,59,0.0535,0.0355,0.0377,,0.7271,771.4221,771.4221,244846.8361,1769135290.9168699,2.72,18,661,0.116,9,0,0,14.2,15.0
91.0,1,1769134426.7351,839.9096,3686,954,4640,0.4729,0.0333,0.365,,25.9267,774.8363,774.8363,245621.6724,1769135292.5916283,2.72,18,662,0.121,9,0,0,14.2,15.0
23.0,0,1769134495.9472,796.8768,27,32,59,0.0535,0.0337,0.0344,,0.723,773.9303,773.9303,246395.6027,1769135293.5478926,2.71,18,663,0.116,9,0,0,14.2,15.0
78.0,0,1769134441.022,852.728,27,32,59,0.0615,0.0263,0.0389,,0.7371,774.7895,774.7895,247170.3922,1769135294.4880304,2.71,18,664,0.117,9,0,0,14.2,15.0
48.0,0,1769134471.1561,823.4711,27,32,59,0.062,0.0305,0.3942,,0.8303,775.5331,775.5331,247945.9253,1769135295.4701605,2.71,18,665,0.118,9,0,0,14.2,15.0
55.0,1,1769134462.9731,805.8585,3311,1026,4337,0.4235,0.0353,0.3339,,27.537,778.3955,778.3955,248724.3208,1769135296.3884134,2.7,18,666,0.135,9,0,0,14.2,15.0
36.0,0,1769134483.163,813.3387,27,32,59,0.0714,0.0281,0.0302,,0.7509,777.4101,777.4101,249501.7308,1769135297.253454,2.7,18,667,0.117,9,0,0,14.2,15.0
58.0,1,1769134460.0407,811.6525,4841,1024,5865,0.6448,0.0329,0.3199,,27.4639,781.1164,781.1164,250282.8473,1769135299.1724405,2.69,18,668,0.132,9,0,0,14.2,15.0
57.0,1,1769134461.0509,813.5733,3556,1031,4587,0.4528,0.0344,0.3382,,27.4326,784.0059,784.0059,251066.8532,1769135302.0749536,2.69,18,669,0.136,9,0,0,14.2,15.0
94.0,1,1769134424.4795,853.7389,3574,1020,4594,0.4373,0.0347,0.3264,,27.5785,787.3175,787.3175,251854.1707,1769135305.8164742,2.69,18,670,0.108,9,0,0,14.2,15.0
19.0,1,1769134499.4951,779.8788,3481,1028,4509,0.4199,0.034,0.329,,27.3101,788.1889,788.1889,253428.9695,1769135306.7252514,2.68,18,672,0.12,9,0,0,14.2,15.0
14.0,0,1769134505.3789,800.5362,27,32,59,0.0737,0.0446,0.3094,,0.8093,786.6099,786.6099,253428.9695,1769135306.749877,2.68,18,672,0.124,9,0,0,14.2,15.0
63.0,0,1769134456.4495,850.5722,27,32,59,0.0672,0.0572,0.3647,,1.1288,787.6394,787.6394,254216.6089,1769135308.1515403,2.67,18,673,0.111,8,0,0,14.2,15.0
32.0,1,1769134486.5618,798.6441,3194,1016,4210,0.4467,0.0345,0.3295,,27.8047,794.4488,794.4488,255011.0577,1769135313.032391,2.67,18,674,0.112,8,0,0,14.2,15.0
72.0,1,1769134446.6351,840.7876,3083,1025,4108,0.4106,0.0326,0.3315,,28.5101,797.2976,797.2976,255808.3554,1769135315.9650204,2.67,18,675,0.125,9,0,0,14.2,15.0
83.0,1,1769134435.6836,852.5117,3305,1026,4331,0.4361,0.034,0.3394,,28.559,798.0708,798.0708,256606.4261,1769135316.7798796,2.66,18,676,0.12,9,0,0,14.2,15.0
41.0,0,1769134478.6552,838.3617,27,32,59,0.0634,0.0286,0.0293,,0.7713,797.4251,797.4251,257403.8512,1769135317.7893188,2.66,18,677,0.134,9,0,0,14.2,15.0
15.0,0,1769134504.6902,813.2444,27,32,59,0.0683,0.3833,0.4625,,1.1451,798.3127,798.3127,258202.1639,1769135319.1403837,2.65,18,678,0.136,9,0,0,14.2,15.0
